match_id,date,league,league_name,stufe,season,team,gegner,gegner_platz_spieltag,gegner_spiele_spieltag,gegnerstaerke,faire_heimquote,odds_quelle,minute,endstand,ergebnis,treffer
SC0-0506-2005-07-30-hibernian-dunfermline,2005-07-30,SC0,Scottish Premiership,1,0506,hibernian,dunfermline,,0,unbekannt,1.7955,B365,12,1:1,unentschieden,0
D1-0506-2005-08-07-schalke-04-kaiserslautern,2005-08-07,D1,Bundesliga,1,0506,schalke 04,kaiserslautern,,0,unbekannt,1.6786,B365,33,2:1,sieg,1
E1-0506-2005-08-09-norwich-crewe,2005-08-09,E1,Championship,2,0506,norwich,crewe,5,1,stark,1.6786,B365,19,1:1,unentschieden,0
D1-0506-2005-08-14-stuttgart-koln,2005-08-14,D1,Bundesliga,1,0506,stuttgart,koln,7,1,schwach,1.6604,B365,8,2:3,niederlage,0
N1-0506-2005-08-21-psv-eindhoven-vitesse,2005-08-21,N1,Eredivisie,1,0506,psv eindhoven,vitesse,11,1,schwach,1.3971,B365,21,2:1,sieg,1
E0-0506-2005-08-24-arsenal-fulham,2005-08-24,E0,Premier League,1,0506,Arsenal,Fulham,15,2,schwach,1.3157,B365,22,4:1,sieg,1
D1-0506-2005-08-27-hamburg-hannover,2005-08-27,D1,Bundesliga,1,0506,hamburg,hannover,9,2,schwach,1.6667,B365,18,1:1,unentschieden,0
E0-0506-2005-09-10-newcastle-fulham,2005-09-10,E0,Premier League,1,0506,Newcastle,Fulham,14,4,schwach,1.7419,B365,13,1:1,unentschieden,0
SP1-0506-2005-09-10-real-madrid-celta,2005-09-10,SP1,La Liga,1,0506,real madrid,celta,2,1,stark,1.3889,B365,8,2:3,niederlage,0
SC0-0506-2005-09-10-hibernian-dundee-united,2005-09-10,SC0,Scottish Premiership,1,0506,hibernian,dundee united,8,5,schwach,1.782,B365,14,2:1,sieg,1
E1-0506-2005-09-10-leeds-brighton,2005-09-10,E1,Championship,2,0506,Leeds,Brighton,16,6,schwach,1.782,B365,28,3:3,unentschieden,0
E1-0506-2005-09-10-southampton-qpr,2005-09-10,E1,Championship,2,0506,Southampton,qpr,13,6,schwach,1.782,B365,32,1:1,unentschieden,0
D1-0506-2005-09-17-werder-bremen-dortmund,2005-09-17,D1,Bundesliga,1,0506,werder bremen,dortmund,9,4,schwach,1.7931,B365,8,3:2,sieg,1
N1-0506-2005-09-18-feyenoord-heerenveen,2005-09-18,N1,Eredivisie,1,0506,feyenoord,heerenveen,10,4,schwach,1.5733,B365,12,5:1,sieg,1
SP1-0506-2005-09-21-villarreal-celta,2005-09-21,SP1,La Liga,1,0506,villarreal,celta,3,3,stark,1.7931,B365,27,1:2,niederlage,0
F1-0506-2005-09-21-st-etienne-nancy,2005-09-21,F1,Ligue 1,1,0506,st etienne,nancy,18,7,schwach,1.7959,B365,31,0:2,niederlage,0
SP1-0506-2005-09-22-real-madrid-ath-bilbao,2005-09-22,SP1,La Liga,1,0506,real madrid,ath bilbao,14,3,schwach,1.552,B365,25,3:1,sieg,1
F1-0506-2005-09-22-lyon-lens,2005-09-22,F1,Ligue 1,1,0506,lyon,lens,7,7,schwach,1.7959,B365,6,1:1,unentschieden,0
E0-0506-2005-09-24-man-united-blackburn,2005-09-24,E0,Premier League,1,0506,Manchester United,blackburn,18,6,schwach,1.4002,B365,33,1:2,niederlage,0
F1-0506-2005-09-24-marseille-metz,2005-09-24,F1,Ligue 1,1,0506,marseille,metz,20,8,schwach,1.7472,B365,11,3:1,sieg,1
SC0-0506-2005-09-24-kilmarnock-falkirk,2005-09-24,SC0,Scottish Premiership,1,0506,kilmarnock,falkirk,10,7,schwach,1.734,B365,11,1:1,unentschieden,0
E0-0506-2005-09-25-middlesbrough-sunderland,2005-09-25,E0,Premier League,1,0506,middlesbrough,Sunderland,20,6,schwach,1.6901,B365,2,0:2,niederlage,0
E1-0506-2005-09-30-wolves-burnley,2005-09-30,E1,Championship,2,0506,Wolves,Burnley,19,11,schwach,1.5534,B365,23,0:1,niederlage,0
SP1-0506-2005-10-02-la-coruna-osasuna,2005-10-02,SP1,La Liga,1,0506,la coruna,osasuna,7,5,schwach,1.7901,B365,19,0:1,niederlage,0
I1-0506-2005-10-02-roma-siena,2005-10-02,I1,Serie A,1,0506,roma,siena,12,5,schwach,1.6557,B365,17,2:3,niederlage,0
E0-0506-2005-10-15-chelsea-bolton,2005-10-15,E0,Premier League,1,0506,Chelsea,bolton,6,8,stark,1.3829,B365,4,5:1,sieg,1
D1-0506-2005-10-15-hamburg-wolfsburg,2005-10-15,D1,Bundesliga,1,0506,hamburg,wolfsburg,7,8,schwach,1.7501,B365,19,0:1,niederlage,0
N1-0506-2005-10-16-feyenoord-groningen,2005-10-16,N1,Eredivisie,1,0506,feyenoord,groningen,12,7,schwach,1.4066,B365,9,4:1,sieg,1
