ebene,variante,gegnerfilter,stufe,schluessel,faelle,treffer,trefferquote,ci_unten,ci_oben,mindestquote,mindestquote_konservativ,ausloeser_pro_saison_5ligen
erste_ligen,"< 1,30",ohne,1,"< 1,30, ohne Gegnerfilter",343,240,70.0,64.9,74.6,1.5,1.77,8.2
erste_ligen,"< 1,30",schwach,1,"< 1,30, Gegner schwach",316,222,70.3,65.0,75.0,1.5,1.77,7.6
erste_ligen,"< 1,50",ohne,1,"< 1,50, ohne Gegnerfilter",1050,597,56.9,53.8,59.8,1.85,2.14,25.1
erste_ligen,"< 1,50",schwach,1,"< 1,50, Gegner schwach",910,523,57.5,54.2,60.6,1.83,2.12,21.8
erste_ligen,"< 1,80",ohne,1,"< 1,80, ohne Gegnerfilter",2472,1138,46.0,44.1,48.0,2.29,2.61,59.1
erste_ligen,"< 1,80",schwach,1,"< 1,80, Gegner schwach",2109,966,45.8,43.7,47.9,2.3,2.63,50.5
zweite_ligen,"< 1,30",ohne,2,"< 1,30, ohne Gegnerfilter",9,7,77.8,45.3,93.7,1.35,2.54,0.5
zweite_ligen,"< 1,30",schwach,2,"< 1,30, Gegner schwach",8,6,75.0,40.9,92.9,1.4,2.81,0.4
zweite_ligen,"< 1,50",ohne,2,"< 1,50, ohne Gegnerfilter",103,54,52.4,42.9,61.8,2.01,2.68,5.4
zweite_ligen,"< 1,50",schwach,2,"< 1,50, Gegner schwach",95,51,53.7,43.7,63.4,1.96,2.63,5.0
zweite_ligen,"< 1,80",ohne,2,"< 1,80, ohne Gegnerfilter",745,258,34.6,31.3,38.1,3.04,3.67,39.2
zweite_ligen,"< 1,80",schwach,2,"< 1,80, Gegner schwach",695,242,34.8,31.4,38.4,3.02,3.67,36.6
drift,"< 1,30",ohne,1,2005/06,8,7,87.5,52.9,97.8,1.2,2.17,8.0
drift,"< 1,30",ohne,1,2006/07,14,7,50.0,26.8,73.2,2.11,4.29,14.0
drift,"< 1,30",ohne,1,2007/08,7,5,71.4,35.9,91.8,1.47,3.2,7.0
drift,"< 1,30",ohne,1,2008/09,13,10,76.9,49.7,91.8,1.37,2.31,13.0
drift,"< 1,30",ohne,1,2009/10,9,7,77.8,45.3,93.7,1.35,2.54,9.0
drift,"< 1,30",ohne,1,2010/11,13,10,76.9,49.7,91.8,1.37,2.31,13.0
drift,"< 1,30",ohne,1,2011/12,13,10,76.9,49.7,91.8,1.37,2.31,13.0
drift,"< 1,30",ohne,1,2012/13,18,11,61.1,38.6,79.7,1.72,2.98,18.0
drift,"< 1,30",ohne,1,2013/14,15,9,60.0,35.7,80.2,1.75,3.22,15.0
drift,"< 1,30",ohne,1,2014/15,12,10,83.3,55.2,95.3,1.26,2.08,12.0
drift,"< 1,30",ohne,1,2015/16,23,17,73.9,53.5,87.5,1.42,2.15,23.0
drift,"< 1,30",ohne,1,2016/17,30,21,70.0,52.1,83.3,1.5,2.21,30.0
drift,"< 1,30",ohne,1,2017/18,30,20,66.7,48.8,80.8,1.58,2.36,30.0
drift,"< 1,30",ohne,1,2018/19,25,17,68.0,48.4,82.8,1.55,2.38,25.0
drift,"< 1,30",ohne,1,2019/20,22,15,68.2,47.3,83.6,1.54,2.43,22.0
drift,"< 1,30",ohne,1,2020/21,19,11,57.9,36.3,76.9,1.82,3.17,19.0
drift,"< 1,30",ohne,1,2021/22,17,15,88.2,65.7,96.7,1.19,1.75,17.0
drift,"< 1,30",ohne,1,2022/23,25,15,60.0,40.7,76.6,1.75,2.82,25.0
drift,"< 1,30",ohne,1,2023/24,30,23,76.7,59.1,88.2,1.37,1.95,30.0
liga,"< 1,30",ohne,1,Belgien Pro League,9,4,44.4,18.9,73.3,2.37,6.09,1.5
liga,"< 1,30",ohne,1,Bundesliga,36,22,61.1,44.9,75.2,1.72,2.56,2.4
liga,"< 1,30",ohne,1,Premier League,47,29,61.7,47.4,74.2,1.71,2.42,3.1
liga,"< 1,30",ohne,1,Ligue 1,15,8,53.3,30.1,75.2,1.97,3.82,1.5
liga,"< 1,30",ohne,1,Griechenland Super League,19,14,73.7,51.2,88.2,1.43,2.25,1.9
liga,"< 1,30",ohne,1,Serie A,38,25,65.8,49.9,78.8,1.6,2.3,2.5
liga,"< 1,30",ohne,1,Eredivisie,57,48,84.2,72.6,91.5,1.25,1.58,3.2
liga,"< 1,30",ohne,1,Primeira Liga,35,26,74.3,57.9,85.8,1.42,1.99,2.5
liga,"< 1,30",ohne,1,Scottish Premiership,22,15,68.2,47.3,83.6,1.54,2.43,1.7
liga,"< 1,30",ohne,1,La Liga,54,41,75.9,63.1,85.4,1.39,1.82,3.2
liga,"< 1,30",ohne,1,Süper Lig,11,8,72.7,43.4,90.3,1.45,2.65,1.8
