match_id,league,season,date,team,gegner,ort,minute,minute_block,faire_quote,staerke,markiert,endstand,ergebnis,treffer
E0-1516-2015-08-08-chelsea-swansea,E0,1516,2015-08-08,swansea,Chelsea,auswaerts,23,21-34,11.288,>2.50,nein,2:2,unentschieden,0
E0-1516-2015-08-08-everton-watford,E0,1516,2015-08-08,Everton,watford,heim,13,11-20,1.745,1.50-2.50,nein,2:2,unentschieden,0
E0-1516-2015-08-08-leicester-sunderland,E0,1516,2015-08-08,Sunderland,Leicester,auswaerts,11,11-20,4.458,>2.50,nein,4:2,niederlage,0
E0-1516-2015-08-08-man-united-tottenham,E0,1516,2015-08-08,Tottenham,Manchester United,auswaerts,22,21-34,6.136,>2.50,nein,1:0,niederlage,0
E0-1516-2015-08-09-newcastle-southampton,E0,1516,2015-08-09,Newcastle,Southampton,heim,24,21-34,2.939,>2.50,nein,2:2,unentschieden,0
E0-1516-2015-08-10-west-brom-man-city,E0,1516,2015-08-10,west brom,Manchester City,heim,9,1-10,5.881,>2.50,nein,0:3,niederlage,0
E0-1516-2015-08-14-aston-villa-man-united,E0,1516,2015-08-14,Aston Villa,Manchester United,heim,29,21-34,5.627,>2.50,nein,0:1,niederlage,0
E0-1516-2015-08-15-southampton-everton,E0,1516,2015-08-15,Southampton,Everton,heim,22,21-34,1.992,1.50-2.50,nein,0:3,niederlage,0
E0-1516-2015-08-15-sunderland-norwich,E0,1516,2015-08-15,Sunderland,norwich,heim,26,21-34,2.564,>2.50,nein,1:3,niederlage,0
E0-1516-2015-08-15-swansea-newcastle,E0,1516,2015-08-15,Newcastle,swansea,auswaerts,9,1-10,4.423,>2.50,nein,2:0,niederlage,0
E0-1516-2015-08-15-tottenham-stoke,E0,1516,2015-08-15,stoke,Tottenham,auswaerts,19,11-20,5.111,>2.50,nein,2:2,unentschieden,0
E0-1516-2015-08-15-west-ham-leicester,E0,1516,2015-08-15,West Ham,Leicester,heim,27,21-34,2.305,1.50-2.50,nein,1:2,niederlage,0
E0-1516-2015-08-16-crystal-palace-arsenal,E0,1516,2015-08-16,Crystal Palace,Arsenal,heim,16,11-20,5.381,>2.50,nein,1:2,niederlage,0
E0-1516-2015-08-16-man-city-chelsea,E0,1516,2015-08-16,Chelsea,Manchester City,auswaerts,31,21-34,3.857,>2.50,nein,3:0,niederlage,0
E0-1516-2015-08-17-liverpool-bournemouth,E0,1516,2015-08-17,Bournemouth,Liverpool,auswaerts,26,21-34,8.201,>2.50,nein,1:0,niederlage,0
E0-1516-2015-08-22-norwich-stoke,E0,1516,2015-08-22,norwich,stoke,heim,11,11-20,2.354,1.50-2.50,nein,1:1,unentschieden,0
E0-1516-2015-08-22-west-ham-bournemouth,E0,1516,2015-08-22,West Ham,Bournemouth,heim,11,11-20,2.444,1.50-2.50,nein,3:4,niederlage,0
E0-1516-2015-08-23-west-brom-chelsea,E0,1516,2015-08-23,west brom,Chelsea,heim,20,11-20,6.637,>2.50,nein,2:3,niederlage,0
E0-1516-2015-08-29-aston-villa-sunderland,E0,1516,2015-08-29,Aston Villa,Sunderland,heim,8,1-10,1.948,1.50-2.50,nein,2:2,unentschieden,0
E0-1516-2015-08-29-bournemouth-leicester,E0,1516,2015-08-29,Leicester,Bournemouth,auswaerts,24,21-34,3.49,>2.50,nein,1:1,unentschieden,0
E0-1516-2015-08-29-liverpool-west-ham,E0,1516,2015-08-29,Liverpool,West Ham,heim,3,1-10,1.398,<1.50,ja,0:3,niederlage,0
E0-1516-2015-09-12-arsenal-stoke,E0,1516,2015-09-12,stoke,Arsenal,auswaerts,31,21-34,12.302,>2.50,nein,2:0,niederlage,0
E0-1516-2015-09-12-everton-chelsea,E0,1516,2015-09-12,Chelsea,Everton,auswaerts,17,11-20,2.056,1.50-2.50,nein,3:1,niederlage,0
E0-1516-2015-09-14-west-ham-newcastle,E0,1516,2015-09-14,Newcastle,West Ham,auswaerts,9,1-10,3.483,>2.50,nein,2:0,niederlage,0
E0-1516-2015-09-19-bournemouth-sunderland,E0,1516,2015-09-19,Sunderland,Bournemouth,auswaerts,4,1-10,5.61,>2.50,nein,2:0,niederlage,0
E0-1516-2015-09-19-man-city-west-ham,E0,1516,2015-09-19,Manchester City,West Ham,heim,6,1-10,1.316,<1.50,ja,1:2,niederlage,0
E0-1516-2015-09-19-newcastle-watford,E0,1516,2015-09-19,Newcastle,watford,heim,10,1-10,2.564,>2.50,nein,1:2,niederlage,0
E0-1516-2015-09-19-stoke-leicester,E0,1516,2015-09-19,Leicester,stoke,auswaerts,13,11-20,3.082,>2.50,nein,2:2,unentschieden,0
E0-1516-2015-09-20-southampton-man-united,E0,1516,2015-09-20,Manchester United,Southampton,auswaerts,13,11-20,2.564,>2.50,nein,2:3,sieg,1
E0-1516-2015-09-26-leicester-arsenal,E0,1516,2015-09-26,Arsenal,Leicester,auswaerts,13,11-20,1.85,1.50-2.50,ja,2:5,sieg,1
E0-1516-2015-09-26-liverpool-aston-villa,E0,1516,2015-09-26,Aston Villa,Liverpool,auswaerts,2,1-10,7.192,>2.50,nein,3:2,niederlage,0
E0-1516-2015-09-26-southampton-swansea,E0,1516,2015-09-26,swansea,Southampton,auswaerts,11,11-20,4.284,>2.50,nein,3:1,niederlage,0
E0-1516-2015-09-26-stoke-bournemouth,E0,1516,2015-09-26,Bournemouth,stoke,auswaerts,32,21-34,3.086,>2.50,nein,2:1,niederlage,0
E0-1516-2015-09-26-tottenham-man-city,E0,1516,2015-09-26,Tottenham,Manchester City,heim,25,21-34,4.304,>2.50,nein,4:1,sieg,1
E0-1516-2015-09-26-west-ham-norwich,E0,1516,2015-09-26,West Ham,norwich,heim,9,1-10,2.305,1.50-2.50,nein,2:2,unentschieden,0
E0-1516-2015-10-03-bournemouth-watford,E0,1516,2015-10-03,watford,Bournemouth,auswaerts,28,21-34,3.895,>2.50,nein,1:1,unentschieden,0
E0-1516-2015-10-03-chelsea-southampton,E0,1516,2015-10-03,Southampton,Chelsea,auswaerts,10,1-10,4.92,>2.50,nein,1:3,sieg,1
E0-1516-2015-10-03-man-city-newcastle,E0,1516,2015-10-03,Manchester City,Newcastle,heim,18,11-20,1.275,<1.50,ja,6:1,sieg,1
