ebene,liga,liga_name,team,markiert,gegnerstaerke,minutenfenster,faelle,treffer,trefferquote,ci_unten,ci_oben,mindestquote,mindestquote_konservativ,belastbar
gesamt,,,,,stark,alle,1757,181,10.3,9.0,11.8,11.75,13.51,ja
gesamt,,,,,schwach,alle,2437,657,27.0,25.2,28.8,4.49,4.8,ja
gesamt_minute,,,,,stark,1-10,580,62,10.7,8.4,13.5,11.33,14.37,ja
gesamt_minute,,,,,stark,11-20,587,69,11.8,9.4,14.6,10.3,12.89,ja
gesamt_minute,,,,,stark,21-34,590,50,8.5,6.5,11.0,14.29,18.67,ja
gesamt_minute,,,,,schwach,1-10,884,254,28.7,25.8,31.8,4.21,4.69,ja
gesamt_minute,,,,,schwach,11-20,759,200,26.4,23.3,29.6,4.6,5.19,ja
gesamt_minute,,,,,schwach,21-34,794,203,25.6,22.7,28.7,4.74,5.35,ja
team,E0,Premier League,Everton,nein,stark,alle,13,1,7.7,1.4,33.3,15.74,88.33,ja
team,E0,Premier League,Everton,nein,schwach,alle,25,4,16.0,6.4,34.7,7.57,18.91,ja
team,E0,Premier League,Newcastle,nein,stark,alle,18,2,11.1,3.1,32.8,10.9,39.04,ja
team,E0,Premier League,Newcastle,nein,schwach,alle,21,4,19.0,7.7,40.0,6.36,15.79,ja
team,E0,Premier League,West Brom,nein,stark,alle,10,1,10.0,1.8,40.4,12.11,67.74,ja
team,E0,Premier League,West Brom,nein,schwach,alle,12,2,16.7,4.7,44.8,7.27,25.78,ja
team,E0,Premier League,Aston Villa,nein,stark,alle,14,0,0.0,0.0,21.5,,,ja
team,E0,Premier League,Aston Villa,nein,schwach,alle,20,3,15.0,5.2,36.0,8.07,23.12,ja
team,E0,Premier League,Southampton,nein,stark,alle,14,1,7.1,1.3,31.5,16.95,95.19,ja
team,E0,Premier League,Southampton,nein,schwach,alle,23,7,30.4,15.6,50.9,3.98,7.76,ja
team,E0,Premier League,Sunderland,nein,stark,alle,4,0,0.0,0.0,49.0,,,nein
team,E0,Premier League,Sunderland,nein,schwach,alle,9,1,11.1,2.0,43.5,10.9,60.88,nein
team,E0,Premier League,West Ham,nein,stark,alle,18,2,11.1,3.1,32.8,10.9,39.04,ja
team,E0,Premier League,West Ham,nein,schwach,alle,32,6,18.8,8.9,35.3,6.46,13.62,ja
team,E0,Premier League,Crystal Palace,nein,stark,alle,12,0,0.0,0.0,24.3,,,ja
team,E0,Premier League,Crystal Palace,nein,schwach,alle,37,10,27.0,15.4,43.0,4.48,7.86,ja
team,E0,Premier League,Norwich,nein,stark,alle,10,0,0.0,-0.0,27.8,,,ja
team,E0,Premier League,Norwich,nein,schwach,alle,15,2,13.3,3.7,37.9,9.08,32.41,ja
team,E0,Premier League,Liverpool,ja,stark,alle,9,3,33.3,12.1,64.6,3.63,10.04,nein
team,E0,Premier League,Liverpool,ja,schwach,alle,25,15,60.0,40.7,76.6,2.02,2.97,ja
team,E0,Premier League,Man City,ja,stark,alle,11,4,36.4,15.2,64.6,3.33,7.98,ja
team,E0,Premier League,Man City,ja,schwach,alle,10,5,50.0,23.7,76.3,2.42,5.12,ja
team,E0,Premier League,Tottenham,nein,stark,alle,12,1,8.3,1.5,35.4,14.53,81.46,ja
team,E0,Premier League,Tottenham,nein,schwach,alle,18,14,77.8,54.8,91.0,1.56,2.21,ja
team,E0,Premier League,Swansea,nein,stark,alle,9,1,11.1,2.0,43.5,10.9,60.88,nein
team,E0,Premier League,Swansea,nein,schwach,alle,10,2,20.0,5.7,51.0,6.05,21.36,ja
team,E0,Premier League,Bournemouth,nein,stark,alle,19,2,10.5,2.9,31.4,11.5,41.25,ja
team,E0,Premier League,Bournemouth,nein,schwach,alle,25,6,24.0,11.5,43.4,5.05,10.53,ja
team,E0,Premier League,Arsenal,ja,stark,alle,13,2,15.4,4.3,42.2,7.87,27.99,ja
team,E0,Premier League,Arsenal,ja,schwach,alle,24,12,50.0,31.4,68.6,2.42,3.85,ja
team,E0,Premier League,Watford,nein,stark,alle,14,0,0.0,0.0,21.5,,,ja
team,E0,Premier League,Watford,nein,schwach,alle,24,4,16.7,6.7,35.9,7.27,18.13,ja
team,E0,Premier League,Stoke,nein,stark,alle,7,0,0.0,0.0,35.4,,,nein
team,E0,Premier League,Stoke,nein,schwach,alle,8,2,25.0,7.1,59.1,4.84,16.94,nein
team,E0,Premier League,Leicester,nein,stark,alle,17,3,17.6,6.2,41.0,6.86,19.56,ja
team,E0,Premier League,Leicester,nein,schwach,alle,29,8,27.6,14.7,45.7,4.39,8.24,ja
team,E0,Premier League,Chelsea,nein,stark,alle,10,1,10.0,1.8,40.4,12.11,67.74,ja
team,E0,Premier League,Chelsea,nein,schwach,alle,14,6,42.9,21.4,67.4,2.83,5.66,ja
team,SP1,La Liga,Betis,nein,stark,alle,18,0,0.0,0.0,17.6,,,ja
team,SP1,La Liga,Betis,nein,schwach,alle,23,8,34.8,18.8,55.1,3.48,6.44,ja
team,SP1,La Liga,Granada,nein,stark,alle,14,1,7.1,1.3,31.5,16.95,95.19,ja
team,SP1,La Liga,Granada,nein,schwach,alle,21,3,14.3,5.0,34.6,8.48,24.31,ja
team,SP1,La Liga,Villarreal,nein,stark,alle,14,2,14.3,4.0,39.9,8.48,30.2,ja
team,SP1,La Liga,Villarreal,nein,schwach,alle,26,7,26.9,13.7,46.1,4.5,8.84,ja
team,SP1,La Liga,Getafe,nein,stark,alle,14,0,0.0,0.0,21.5,,,ja
team,SP1,La Liga,Getafe,nein,schwach,alle,18,5,27.8,12.5,50.9,4.36,9.69,ja
team,SP1,La Liga,Levante,nein,stark,alle,17,3,17.6,6.2,41.0,6.86,19.56,ja
team,SP1,La Liga,Levante,nein,schwach,alle,20,3,15.0,5.2,36.0,8.07,23.12,ja
team,SP1,La Liga,Espanol,nein,stark,alle,14,1,7.1,1.3,31.5,16.95,95.19,ja
team,SP1,La Liga,Espanol,nein,schwach,alle,25,1,4.0,0.7,19.5,30.27,170.65,ja
team,SP1,La Liga,Vallecano,nein,stark,alle,10,0,0.0,-0.0,27.8,,,ja
team,SP1,La Liga,Vallecano,nein,schwach,alle,19,3,15.8,5.5,37.6,7.67,21.94,ja
team,SP1,La Liga,La Coruna,nein,stark,alle,8,0,0.0,0.0,32.4,,,nein
team,SP1,La Liga,La Coruna,nein,schwach,alle,11,0,0.0,0.0,25.9,,5.886593011695436e+16,ja
team,SP1,La Liga,Sevilla,nein,stark,alle,15,2,13.3,3.7,37.9,9.08,32.41,ja
team,SP1,La Liga,Sevilla,nein,schwach,alle,18,5,27.8,12.5,50.9,4.36,9.69,ja
team,SP1,La Liga,Ath Bilbao,nein,stark,alle,14,3,21.4,7.6,47.6,5.65,15.99,ja
team,SP1,La Liga,Ath Bilbao,nein,schwach,alle,25,10,40.0,23.4,59.3,3.03,5.17,ja
team,SP1,La Liga,Las Palmas,nein,stark,alle,13,2,15.4,4.3,42.2,7.87,27.99,ja
team,SP1,La Liga,Las Palmas,nein,schwach,alle,11,2,18.2,5.1,47.7,6.66,23.57,ja
team,SP1,La Liga,Ath Madrid,nein,stark,alle,9,2,22.2,6.3,54.7,5.45,19.15,nein
team,SP1,La Liga,Ath Madrid,nein,schwach,alle,13,10,76.9,49.7,91.8,1.57,2.43,ja
team,SP1,La Liga,Barcelona,ja,stark,alle,10,4,40.0,16.8,68.7,3.03,7.2,ja
team,SP1,La Liga,Barcelona,ja,schwach,alle,20,13,65.0,43.3,81.9,1.86,2.8,ja
team,SP1,La Liga,Sociedad,nein,stark,alle,14,1,7.1,1.3,31.5,16.95,95.19,ja
team,SP1,La Liga,Sociedad,nein,schwach,alle,20,5,25.0,11.2,46.9,4.84,10.83,ja
team,SP1,La Liga,Celta,nein,stark,alle,24,2,8.3,2.3,25.8,14.53,52.29,ja
team,SP1,La Liga,Celta,nein,schwach,alle,29,8,27.6,14.7,45.7,4.39,8.24,ja
team,SP1,La Liga,Real Madrid,ja,stark,alle,9,5,55.6,26.7,81.1,2.18,4.54,nein
