match_id,date,league,season,team,gegner,gegner_endplatz,gegner_platz_am_spieltag,gegner_spiele_am_spieltag,faire_quote,minute,endstand,ergebnis,treffer
D1-1516-2015-09-27-dortmund-darmstadt,2015-09-27,D1,1516,dortmund,darmstadt,14,11,6,1.201,17,2:2,unentschieden,0
E0-1516-2015-10-03-man-city-newcastle,2015-10-03,E0,1516,Manchester City,Newcastle,18,19,7,1.275,18,6:1,sieg,1
I1-1516-2015-10-04-juventus-bologna,2015-10-04,I1,1516,juventus,bologna,14,20,6,1.28,5,3:1,sieg,1
SP1-1516-2015-10-17-barcelona-vallecano,2015-10-17,SP1,1516,barcelona,vallecano,18,15,7,1.203,15,5:2,sieg,1
SP1-1516-2015-10-25-barcelona-eibar,2015-10-25,SP1,1516,barcelona,eibar,13,6,8,1.169,10,3:1,sieg,1
D1-1516-2015-12-13-dortmund-ein-frankfurt,2015-12-13,D1,1516,dortmund,ein frankfurt,16,14,15,1.224,6,4:1,sieg,1
D1-1516-2016-02-20-bayern-munich-darmstadt,2016-02-20,D1,1516,bayern munich,darmstadt,14,13,21,1.132,26,3:1,sieg,1
SP1-1516-2016-02-28-barcelona-sevilla,2016-02-28,SP1,1516,barcelona,sevilla,7,5,25,1.218,20,2:1,sieg,1
D1-1516-2016-02-28-dortmund-hoffenheim,2016-02-28,D1,1516,dortmund,hoffenheim,15,17,22,1.238,25,3:1,sieg,1
I1-1516-2016-03-05-napoli-chievo,2016-03-05,I1,1516,napoli,chievo,9,10,27,1.225,2,3:1,sieg,1
SP1-1516-2016-04-17-barcelona-valencia,2016-04-17,SP1,1516,barcelona,valencia,11,13,32,1.194,26,1:2,niederlage,0
I1-1516-2016-05-01-milan-frosinone,2016-05-01,I1,1516,milan,frosinone,19,19,35,1.285,2,3:3,unentschieden,0
D1-1617-2016-09-17-bayern-munich-ingolstadt,2016-09-17,D1,1617,bayern munich,ingolstadt,17,16,2,1.121,8,3:1,sieg,1
SP1-1617-2016-10-02-real-madrid-eibar,2016-10-02,SP1,1617,real madrid,eibar,10,8,6,1.14,6,1:1,unentschieden,0
SP1-1617-2016-10-15-ath-madrid-granada,2016-10-15,SP1,1617,ath madrid,granada,20,20,7,1.179,18,7:1,sieg,1
I1-1617-2016-10-15-juventus-udinese,2016-10-15,I1,1617,juventus,udinese,13,16,7,1.264,30,2:1,sieg,1
I1-1617-2016-10-26-fiorentina-crotone,2016-10-26,I1,1617,fiorentina,crotone,17,20,9,1.285,24,1:1,unentschieden,0
E0-1617-2016-12-18-tottenham-burnley,2016-12-18,E0,1617,Tottenham,Burnley,16,16,16,1.256,21,2:1,sieg,1
I1-1617-2017-01-29-napoli-palermo,2017-01-29,I1,1617,napoli,palermo,19,19,21,1.179,6,1:1,unentschieden,0
E0-1617-2017-01-31-arsenal-watford,2017-01-31,E0,1617,Arsenal,watford,17,14,22,1.256,10,1:2,niederlage,0
E0-1617-2017-03-12-liverpool-burnley,2017-03-12,E0,1617,Liverpool,Burnley,16,12,27,1.282,7,2:1,sieg,1
SP1-1617-2017-03-12-real-madrid-betis,2017-03-12,SP1,1617,real madrid,betis,15,14,26,1.179,24,2:1,sieg,1
SP1-1617-2017-03-19-barcelona-valencia,2017-03-19,SP1,1617,barcelona,valencia,12,14,27,1.178,29,4:2,sieg,1
I1-1617-2017-03-19-roma-sassuolo,2017-03-19,I1,1617,roma,sassuolo,12,13,28,1.285,9,3:1,sieg,1
D1-1617-2017-04-22-bayern-munich-mainz,2017-04-22,D1,1617,bayern munich,mainz,15,15,29,1.238,3,2:2,unentschieden,0
D1-1617-2017-05-20-dortmund-werder-bremen,2017-05-20,D1,1617,dortmund,werder bremen,8,8,33,1.26,7,4:3,sieg,1
E0-1617-2017-05-21-chelsea-sunderland,2017-05-21,E0,1617,Chelsea,Sunderland,20,20,37,1.176,3,5:1,sieg,1
SP1-1617-2017-05-21-barcelona-eibar,2017-05-21,SP1,1617,barcelona,eibar,10,10,37,1.101,7,4:2,sieg,1
I1-1617-2017-05-28-fiorentina-pescara,2017-05-28,I1,1617,fiorentina,pescara,20,20,37,1.202,14,2:2,unentschieden,0
I1-1617-2017-05-28-roma-genoa,2017-05-28,I1,1617,roma,genoa,16,16,37,1.102,3,3:2,sieg,1
E0-1718-2017-08-12-chelsea-burnley,2017-08-12,E0,1718,Chelsea,Burnley,7,,0,1.276,24,2:3,niederlage,0
F1-1718-2017-08-20-paris-sg-toulouse,2017-08-20,F1,1718,paris sg,toulouse,18,13,2,1.13,18,6:2,sieg,1
SP1-1718-2017-09-09-real-madrid-levante,2017-09-09,SP1,1718,real madrid,levante,15,7,2,1.101,12,1:1,unentschieden,0
E0-1718-2017-10-28-arsenal-swansea,2017-10-28,E0,1718,Arsenal,swansea,18,15,9,1.283,22,2:1,sieg,1
I1-1718-2017-11-05-juventus-benevento,2017-11-05,I1,1718,juventus,benevento,20,20,11,1.113,19,2:1,sieg,1
E0-1718-2017-11-25-tottenham-west-brom,2017-11-25,E0,1718,Tottenham,west brom,20,17,12,1.286,4,1:1,unentschieden,0
E0-1718-2017-12-02-chelsea-newcastle,2017-12-02,E0,1718,Chelsea,Newcastle,10,12,14,1.276,12,3:1,sieg,1
SP1-1718-2017-12-02-barcelona-celta,2017-12-02,SP1,1718,barcelona,celta,12,9,13,1.178,20,2:2,unentschieden,0
E0-1718-2017-12-26-man-united-burnley,2017-12-26,E0,1718,Manchester United,Burnley,7,7,19,1.276,3,2:2,unentschieden,0
SP1-1718-2018-01-21-real-madrid-la-coruna,2018-01-21,SP1,1718,real madrid,la coruna,18,18,19,1.203,23,7:1,sieg,1
D1-1718-2018-01-21-bayern-munich-werder-bremen,2018-01-21,D1,1718,bayern munich,werder bremen,11,16,18,1.178,25,4:2,sieg,1
SP1-1718-2018-01-28-barcelona-alaves,2018-01-28,SP1,1718,barcelona,alaves,14,17,20,1.14,23,2:1,sieg,1
I1-1718-2018-01-28-napoli-bologna,2018-01-28,I1,1718,napoli,bologna,15,12,21,1.236,1,3:1,sieg,1
I1-1718-2018-02-11-roma-benevento,2018-02-11,I1,1718,roma,benevento,20,20,23,1.202,7,5:2,sieg,1
F1-1718-2018-02-17-paris-sg-strasbourg,2018-02-17,F1,1718,paris sg,strasbourg,15,13,25,1.13,6,5:2,sieg,1
SP1-1718-2018-02-24-barcelona-girona,2018-02-24,SP1,1718,barcelona,girona,10,8,24,1.202,3,6:1,sieg,1
SP1-1718-2018-04-18-real-madrid-ath-bilbao,2018-04-18,SP1,1718,real madrid,ath bilbao,16,13,32,1.269,14,1:1,unentschieden,0
I1-1718-2018-04-21-milan-benevento,2018-04-21,I1,1718,milan,benevento,20,20,33,1.262,29,0:1,niederlage,0
I1-1718-2018-05-05-juventus-bologna,2018-05-05,I1,1718,juventus,bologna,15,12,35,1.194,30,3:1,sieg,1
D1-1718-2018-05-12-bayern-munich-stuttgart,2018-05-12,D1,1718,bayern munich,stuttgart,7,8,33,1.222,5,1:4,niederlage,0
I1-1718-2018-05-12-inter-sassuolo,2018-05-12,I1,1718,inter,sassuolo,11,12,36,1.222,25,1:2,niederlage,0
SP1-1819-2018-09-02-barcelona-huesca,2018-09-02,SP1,1819,barcelona,huesca,19,7,2,1.135,3,8:2,sieg,1
E0-1819-2018-09-15-chelsea-cardiff,2018-09-15,E0,1819,Chelsea,cardiff,18,16,4,1.21,16,4:1,sieg,1
F1-1819-2018-09-26-paris-sg-reims,2018-09-26,F1,1819,paris sg,reims,8,13,6,1.178,2,4:1,sieg,1
SP1-1819-2018-10-20-real-madrid-levante,2018-10-20,SP1,1819,real madrid,levante,15,11,8,1.194,6,1:2,niederlage,0
SP1-1819-2018-11-11-barcelona-betis,2018-11-11,SP1,1819,barcelona,betis,10,15,11,1.259,20,3:4,niederlage,0
