liga,liga_name,faelle,beobachtet,erwartet,differenz,z
B1,Belgien Pro League,167,70,74.2,-4.2,-0.66
D1,Bundesliga,268,120,125.2,-5.2,-0.66
E0,Premier League,313,145,147.6,-2.6,-0.3
F1,Ligue 1,244,98,100.2,-2.2,-0.29
G1,Griechenland Super League,109,53,50.7,2.3,0.45
I1,Serie A,323,142,143.9,-1.9,-0.22
N1,Eredivisie,312,153,153.2,-0.2,-0.03
P1,Primeira Liga,139,75,68.2,6.8,1.2
SC0,Scottish Premiership,127,52,59.4,-7.4,-1.36
SP1,La Liga,303,144,141.5,2.5,0.31
T1,Süper Lig,167,86,73.9,12.1,1.92
