liga,liga_name,team,markiert,faelle,treffer,trefferquote,ci_unten,ci_oben,mindestquote,heim_faelle,heim_treffer,heim_quote,auswaerts_faelle,auswaerts_treffer,auswaerts_quote,belastbar
E0,Premier League (England),Liverpool,ja,78,32,41.0,30.8,52.1,2.56,34,18,52.9,44,14,31.8,ja
E0,Premier League (England),Man City,ja,51,18,35.3,23.6,49.0,2.98,21,9,42.9,30,9,30.0,ja
E0,Premier League (England),Tottenham,nein,91,31,34.1,25.2,44.3,3.08,30,15,50.0,61,16,26.2,ja
E0,Premier League (England),Man United,nein,88,24,27.3,19.1,37.4,3.85,34,12,35.3,54,12,22.2,ja
E0,Premier League (England),Arsenal,ja,79,19,24.1,16.0,34.5,4.37,37,14,37.8,42,5,11.9,ja
E0,Premier League (England),Hull,nein,17,4,23.5,9.6,47.3,4.46,8,4,50.0,9,0,0.0,nein
E0,Premier League (England),Chelsea,nein,66,14,21.2,13.1,32.5,4.95,24,7,29.2,42,7,16.7,ja
E0,Premier League (England),Wolves,nein,73,14,19.2,11.8,29.7,5.48,38,5,13.2,35,9,25.7,ja
E0,Premier League (England),Southampton,nein,87,16,18.4,11.6,27.8,5.71,37,8,21.6,50,8,16.0,ja
E0,Premier League (England),West Ham,nein,116,21,18.1,12.2,26.1,5.8,50,8,16.0,66,13,19.7,ja
E0,Premier League (England),Leicester,nein,100,18,18.0,11.7,26.7,5.83,46,11,23.9,54,7,13.0,ja
E0,Premier League (England),Crystal Palace,nein,102,18,17.6,11.5,26.2,5.95,49,10,20.4,53,8,15.1,ja
E0,Premier League (England),Cardiff,nein,17,3,17.6,6.2,41.0,5.95,9,3,33.3,8,0,0.0,nein
E0,Premier League (England),Brentford,nein,35,5,14.3,6.3,29.4,7.35,13,3,23.1,22,2,9.1,ja
E0,Premier League (England),Swansea,nein,39,5,12.8,5.6,26.7,8.19,19,3,15.8,20,2,10.0,ja
E0,Premier League (England),Bournemouth,nein,101,12,11.9,6.9,19.6,8.84,44,8,18.2,57,4,7.0,ja
E0,Premier League (England),Leeds,nein,42,5,11.9,5.2,25.0,8.82,22,3,13.6,20,2,10.0,ja
E0,Premier League (England),Newcastle,nein,86,10,11.6,6.4,20.1,9.03,39,6,15.4,47,4,8.5,ja
E0,Premier League (England),Brighton,nein,83,8,9.6,5.0,17.9,10.89,37,4,10.8,46,4,8.7,ja
E0,Premier League (England),Stoke,nein,33,3,9.1,3.1,23.6,11.55,15,2,13.3,18,1,5.6,ja
E0,Premier League (England),Aston Villa,nein,68,6,8.8,4.1,17.9,11.9,34,3,8.8,34,3,8.8,ja
E0,Premier League (England),Fulham,nein,57,5,8.8,3.8,18.9,11.97,32,3,9.4,25,2,8.0,ja
E0,Premier League (England),West Brom,nein,47,4,8.5,3.4,19.9,12.34,22,3,13.6,25,1,4.0,ja
E0,Premier League (England),Burnley,nein,87,7,8.0,4.0,15.7,13.05,42,4,9.5,45,3,6.7,ja
E0,Premier League (England),Everton,nein,91,7,7.7,3.8,15.0,13.65,38,5,13.2,53,2,3.8,ja
E0,Premier League (England),Sunderland,nein,26,2,7.7,2.1,24.1,13.65,13,1,7.7,13,1,7.7,nein
E0,Premier League (England),Watford,nein,79,6,7.6,3.5,15.6,13.82,38,4,10.5,41,2,4.9,ja
E0,Premier League (England),Nott'm Forest,nein,27,2,7.4,2.1,23.4,14.18,8,0,0.0,19,2,10.5,nein
E0,Premier League (England),Sheffield United,nein,41,2,4.9,1.3,16.1,21.52,21,1,4.8,20,1,5.0,ja
E0,Premier League (England),Norwich,nein,46,2,4.3,1.2,14.5,24.15,25,2,8.0,21,0,0.0,ja
E0,Premier League (England),Huddersfield,nein,30,0,0.0,-0.0,11.4,,16,0,0.0,14,0,0.0,ja
E0,Premier League (England),Luton,nein,14,0,0.0,0.0,21.5,,8,0,0.0,6,0,0.0,nein
E0,Premier League (England),Middlesbrough,nein,10,0,0.0,-0.0,27.8,,6,0,0.0,4,0,0.0,nein
SP1,La Liga (Spanien),Barcelona,ja,65,28,43.1,31.8,55.2,2.44,30,17,56.7,35,11,31.4,ja
