liga,liga_name,torniveau,min,max,faelle,treffer,quote,ci_lo,ci_hi
N1,Eredivisie,3.078,2.84,3.47,312,153,49.0,43.5,54.6
D1,Bundesliga,2.956,2.74,3.22,268,120,44.8,38.9,50.8
B1,Belgien Pro League,2.806,2.51,3.04,167,70,41.9,34.7,49.5
E0,Premier League,2.733,2.45,3.28,313,145,46.3,40.9,51.9
T1,Süper Lig,2.711,2.41,3.05,167,86,51.5,44.0,59.0
I1,Serie A,2.688,2.51,3.05,323,142,44.0,38.7,49.4
SP1,La Liga,2.665,2.46,2.94,303,144,47.5,42.0,53.1
SC0,Scottish Premiership,2.644,2.4,2.94,127,52,40.9,32.8,49.6
P1,Primeira Liga,2.513,2.23,2.87,139,75,54.0,45.7,62.0
F1,Ligue 1,2.511,2.13,2.81,244,98,40.2,34.2,46.4
G1,Griechenland Super League,2.335,2.13,2.96,109,53,48.6,39.4,57.9
