datum,liga,liga_code,saison,team,gegner,vorquote_fair,torniveau_liga_saison,minute_gegentor,modell_p_sieg,modell_faire_quote,lohnt_ab_quote,live_quote_notiert,einsatz,notiert_am,bemerkung,endstand,ergebnis,treffer
2005-07-30,Scottish Premiership,SC0,0506,hibernian,dunfermline,1.7955,2.811,12,0.3366,2.97,3.13,,,,,1:1,unentschieden,0
2005-08-07,Bundesliga,D1,0506,schalke 04,kaiserslautern,1.6786,2.814,33,0.297,3.37,3.55,,,,,2:1,sieg,1
2005-08-14,Bundesliga,D1,0506,stuttgart,koln,1.6604,2.814,8,0.4057,2.46,2.6,,,,,2:3,niederlage,0
2005-08-21,Eredivisie,N1,0506,psv eindhoven,vitesse,1.3971,2.98,21,0.5003,2.0,2.1,,,,,2:1,sieg,1
2005-08-24,Premier League,E0,0506,Arsenal,Fulham,1.3157,2.484,22,0.5649,1.77,1.86,,,,,4:1,sieg,1
2005-08-27,Bundesliga,D1,0506,hamburg,hannover,1.6667,2.814,18,0.3608,2.77,2.92,,,,,1:1,unentschieden,0
2005-09-10,Premier League,E0,0506,Newcastle,Fulham,1.7419,2.484,13,0.3516,2.84,2.99,,,,,1:1,unentschieden,0
2005-09-10,Scottish Premiership,SC0,0506,hibernian,dundee united,1.782,2.811,14,0.3332,3.0,3.16,,,,,2:1,sieg,1
2005-09-10,La Liga,SP1,0506,real madrid,celta,1.3889,2.463,8,0.5644,1.77,1.87,,,,,2:3,niederlage,0
2005-09-17,Bundesliga,D1,0506,werder bremen,dortmund,1.7931,2.814,8,0.3536,2.83,2.98,,,,,3:2,sieg,1
2005-09-18,Eredivisie,N1,0506,feyenoord,heerenveen,1.5733,2.98,12,0.4299,2.33,2.45,,,,,5:1,sieg,1
2005-09-21,Ligue 1,F1,0506,st etienne,nancy,1.7959,2.134,31,0.2652,3.77,3.97,,,,,0:2,niederlage,0
2005-09-21,La Liga,SP1,0506,villarreal,celta,1.7931,2.463,27,0.2803,3.57,3.76,,,,,1:2,niederlage,0
2005-09-22,Ligue 1,F1,0506,lyon,lens,1.7959,2.134,6,0.3608,2.77,2.92,,,,,1:1,unentschieden,0
2005-09-22,La Liga,SP1,0506,real madrid,ath bilbao,1.552,2.463,25,0.3849,2.6,2.74,,,,,3:1,sieg,1
2005-09-24,Premier League,E0,0506,Manchester United,blackburn,1.4002,2.484,33,0.4445,2.25,2.37,,,,,1:2,niederlage,0
2005-09-24,Ligue 1,F1,0506,marseille,metz,1.7472,2.134,11,0.3578,2.79,2.94,,,,,3:1,sieg,1
2005-09-24,Scottish Premiership,SC0,0506,kilmarnock,falkirk,1.734,2.811,11,0.3628,2.76,2.9,,,,,1:1,unentschieden,0
2005-09-25,Premier League,E0,0506,middlesbrough,Sunderland,1.6901,2.484,2,0.4188,2.39,2.51,,,,,0:2,niederlage,0
2005-10-02,Serie A,I1,0506,roma,siena,1.6557,2.608,17,0.3696,2.71,2.85,,,,,2:3,niederlage,0
2005-10-02,La Liga,SP1,0506,la coruna,osasuna,1.7901,2.463,19,0.311,3.22,3.39,,,,,0:1,niederlage,0
2005-10-15,Bundesliga,D1,0506,hamburg,wolfsburg,1.7501,2.814,19,0.3246,3.08,3.24,,,,,0:1,niederlage,0
2005-10-15,Premier League,E0,0506,Chelsea,bolton,1.3829,2.484,4,0.5865,1.71,1.8,,,,,5:1,sieg,1
2005-10-16,Eredivisie,N1,0506,feyenoord,groningen,1.4066,2.98,9,0.5467,1.83,1.93,,,,,4:1,sieg,1
2005-10-23,Serie A,I1,0506,milan,palermo,1.5056,2.608,28,0.3974,2.52,2.65,,,,,2:1,sieg,1
2005-10-23,La Liga,SP1,0506,real madrid,valencia,1.7901,2.463,22,0.2996,3.34,3.51,,,,,1:2,niederlage,0
2005-10-26,Serie A,I1,0506,inter,roma,1.7419,2.608,11,0.3598,2.78,2.93,,,,,2:3,niederlage,0
2005-10-27,La Liga,SP1,0506,valencia,sevilla,1.7901,2.463,20,0.3072,3.26,3.43,,,,,0:2,niederlage,0
2005-10-29,Bundesliga,D1,0506,werder bremen,ein frankfurt,1.5654,2.814,19,0.4036,2.48,2.61,,,,,4:1,sieg,1
2005-10-29,Scottish Premiership,SC0,0506,rangers,inverness c,1.3457,2.811,26,0.5199,1.92,2.03,,,,,1:1,unentschieden,0
2005-10-30,Serie A,I1,0506,fiorentina,cagliari,1.5213,2.608,23,0.41,2.44,2.57,,,,,2:1,sieg,1
2005-11-05,Bundesliga,D1,0506,bayern munich,werder bremen,1.7931,2.814,1,0.3827,2.61,2.75,,,,,3:1,sieg,1
2005-11-19,Ligue 1,F1,0506,lyon,troyes,1.3889,2.134,21,0.5066,1.97,2.08,,,,,2:1,sieg,1
2005-11-26,Scottish Premiership,SC0,0506,celtic,dunfermline,1.2114,2.811,17,0.6975,1.43,1.51,,,,,0:1,niederlage,0
2005-11-27,Serie A,I1,0506,juventus,treviso,1.2297,2.608,25,0.6438,1.55,1.64,,,,,3:1,sieg,1
