dimension,gruppe,faelle,siege,unentschieden,niederlagen,siegquote,ci_unten,ci_oben,hinweis
gesamt,alle Fälle,2796,540,749,1507,19.3,17.9,20.8,
minute,0-15,121,11,26,84,9.1,5.2,15.5,
minute,16-30,206,31,48,127,15.0,10.8,20.6,
minute,31-45,384,52,94,238,13.5,10.5,17.3,
minute,46-60,381,75,94,212,19.7,16.0,24.0,
minute,61-75,549,139,144,266,25.3,21.9,29.1,
minute,76+,1155,232,343,580,20.1,17.9,22.5,
spielstand,fuehrt,677,446,153,78,65.9,62.2,69.4,
spielstand,unentschieden,1032,81,509,442,7.8,6.4,9.7,
spielstand,1 zurueck,727,13,82,632,1.8,1.0,3.0,
spielstand,2+ zurueck,360,0,5,355,0.0,0.0,1.1,
ort,heim,1259,282,374,603,22.4,20.2,24.8,
ort,auswaerts,1537,258,375,904,16.8,15.0,18.7,
staerke,<1.50,138,69,39,30,50.0,41.8,58.2,
staerke,1.50-2.50,851,250,274,327,29.4,26.4,32.5,
staerke,>2.50,1807,221,436,1150,12.2,10.8,13.8,
minute_x_spielstand,0-15 / 1 zurueck,9,0,3,6,0.0,0.0,29.9,zu wenig Daten
minute_x_spielstand,0-15 / fuehrt,8,3,1,4,37.5,13.7,69.4,zu wenig Daten
minute_x_spielstand,0-15 / unentschieden,104,8,22,74,7.7,3.9,14.4,
minute_x_spielstand,16-30 / 1 zurueck,46,4,5,37,8.7,3.4,20.3,
minute_x_spielstand,16-30 / 2+ zurueck,11,0,0,11,0.0,0.0,25.9,zu wenig Daten
minute_x_spielstand,16-30 / fuehrt,34,14,9,11,41.2,26.4,57.8,
minute_x_spielstand,16-30 / unentschieden,115,13,34,68,11.3,6.7,18.4,
minute_x_spielstand,31-45 / 1 zurueck,98,3,14,81,3.1,1.0,8.6,
minute_x_spielstand,31-45 / 2+ zurueck,28,0,1,27,0.0,0.0,12.1,zu wenig Daten
minute_x_spielstand,31-45 / fuehrt,84,31,26,27,36.9,27.4,47.6,
minute_x_spielstand,31-45 / unentschieden,174,18,53,103,10.3,6.6,15.8,
minute_x_spielstand,46-60 / 1 zurueck,98,2,13,83,2.0,0.6,7.1,
minute_x_spielstand,46-60 / 2+ zurueck,47,0,1,46,0.0,0.0,7.6,
minute_x_spielstand,46-60 / fuehrt,100,58,29,13,58.0,48.2,67.2,
minute_x_spielstand,46-60 / unentschieden,136,15,51,70,11.0,6.8,17.4,
minute_x_spielstand,61-75 / 1 zurueck,132,3,22,107,2.3,0.8,6.5,
minute_x_spielstand,61-75 / 2+ zurueck,88,0,2,86,0.0,0.0,4.2,
minute_x_spielstand,61-75 / fuehrt,183,119,48,16,65.0,57.9,71.6,
minute_x_spielstand,61-75 / unentschieden,146,17,72,57,11.6,7.4,17.9,
minute_x_spielstand,76+ / 1 zurueck,344,1,25,318,0.3,0.1,1.6,
minute_x_spielstand,76+ / 2+ zurueck,186,0,1,185,0.0,0.0,2.0,
minute_x_spielstand,76+ / fuehrt,268,221,40,7,82.5,77.5,86.5,
minute_x_spielstand,76+ / unentschieden,357,10,277,70,2.8,1.5,5.1,
