match_id,league,league_name,stufe,season,season_name,date,home_team,away_team,home_team_raw,away_team_raw,fthg,ftag,ftr,hthg,htag,odds_h,odds_d,odds_a,odds_quelle,faire_heimquote
E0-0506-2005-08-13-aston-villa-bolton,E0,Premier League,1,0506,2005/06,2005-08-13,Aston Villa,bolton,Aston Villa,Bolton,2,2,D,2,2,2.3,3.25,3,B365,2.4744
E0-0506-2005-08-13-everton-man-united,E0,Premier League,1,0506,2005/06,2005-08-13,Everton,Manchester United,Everton,Man United,0,2,A,0,1,5,3.4,1.72,B365,5.3776
E0-0506-2005-08-13-fulham-birmingham,E0,Premier League,1,0506,2005/06,2005-08-13,Fulham,birmingham,Fulham,Birmingham,0,0,D,0,0,2.37,3.25,2.87,B365,2.555
E0-0506-2005-08-13-man-city-west-brom,E0,Premier League,1,0506,2005/06,2005-08-13,Manchester City,west brom,Man City,West Brom,0,0,D,0,0,1.72,3.4,5,B365,1.8499
E0-0506-2005-08-13-middlesbrough-liverpool,E0,Premier League,1,0506,2005/06,2005-08-13,middlesbrough,Liverpool,Middlesbrough,Liverpool,0,0,D,0,0,2.87,3.2,2.4,B365,3.0927
E0-0506-2005-08-13-portsmouth-tottenham,E0,Premier League,1,0506,2005/06,2005-08-13,portsmouth,Tottenham,Portsmouth,Tottenham,0,2,A,0,1,2.75,3.2,2.5,B365,2.9594
E0-0506-2005-08-13-sunderland-charlton,E0,Premier League,1,0506,2005/06,2005-08-13,Sunderland,charlton,Sunderland,Charlton,1,3,A,1,1,2.37,3.2,2.9,B365,2.5579
E0-0506-2005-08-13-west-ham-blackburn,E0,Premier League,1,0506,2005/06,2005-08-13,West Ham,blackburn,West Ham,Blackburn,3,1,H,0,1,2.5,3.2,2.75,B365,2.6903
E0-0506-2005-08-14-arsenal-newcastle,E0,Premier League,1,0506,2005/06,2005-08-14,Arsenal,Newcastle,Arsenal,Newcastle,2,0,H,0,0,1.4,4.2,8,B365,1.5083
E0-0506-2005-08-14-wigan-chelsea,E0,Premier League,1,0506,2005/06,2005-08-14,wigan,Chelsea,Wigan,Chelsea,0,1,A,0,0,10,4.5,1.33,B365,10.741
E0-0506-2005-08-20-birmingham-man-city,E0,Premier League,1,0506,2005/06,2005-08-20,birmingham,Manchester City,Birmingham,Man City,1,2,A,1,1,2.2,3.2,3.25,B365,2.3644
E0-0506-2005-08-20-blackburn-fulham,E0,Premier League,1,0506,2005/06,2005-08-20,blackburn,Fulham,Blackburn,Fulham,2,1,H,1,0,2,3.2,3.75,B365,2.1583
E0-0506-2005-08-20-charlton-wigan,E0,Premier League,1,0506,2005/06,2005-08-20,charlton,wigan,Charlton,Wigan,1,0,H,1,0,1.8,3.4,4.33,B365,1.9451
E0-0506-2005-08-20-liverpool-sunderland,E0,Premier League,1,0506,2005/06,2005-08-20,Liverpool,Sunderland,Liverpool,Sunderland,1,0,H,1,0,1.28,5,10,B365,1.384
E0-0506-2005-08-20-man-united-aston-villa,E0,Premier League,1,0506,2005/06,2005-08-20,Manchester United,Aston Villa,Man United,Aston Villa,1,0,H,0,0,1.22,5.5,13,B365,1.3157
E0-0506-2005-08-20-newcastle-west-ham,E0,Premier League,1,0506,2005/06,2005-08-20,Newcastle,West Ham,Newcastle,West Ham,0,0,D,0,0,1.61,3.6,5.5,B365,1.7399
E0-0506-2005-08-20-tottenham-middlesbrough,E0,Premier League,1,0506,2005/06,2005-08-20,Tottenham,middlesbrough,Tottenham,Middlesbrough,2,0,H,0,0,1.9,3.3,4,B365,2.0508
E0-0506-2005-08-20-west-brom-portsmouth,E0,Premier League,1,0506,2005/06,2005-08-20,west brom,portsmouth,West Brom,Portsmouth,2,1,H,1,0,2.2,3.2,3.25,B365,2.3644
E0-0506-2005-08-21-bolton-everton,E0,Premier League,1,0506,2005/06,2005-08-21,bolton,Everton,Bolton,Everton,0,1,A,0,0,2.1,3.2,3.5,B365,2.2563
E0-0506-2005-08-21-chelsea-arsenal,E0,Premier League,1,0506,2005/06,2005-08-21,Chelsea,Arsenal,Chelsea,Arsenal,1,0,H,0,0,2,3.2,3.75,B365,2.1583
E0-0506-2005-08-23-birmingham-middlesbrough,E0,Premier League,1,0506,2005/06,2005-08-23,birmingham,middlesbrough,Birmingham,Middlesbrough,0,3,A,0,2,2.5,3.2,2.75,B365,2.6903
E0-0506-2005-08-23-portsmouth-aston-villa,E0,Premier League,1,0506,2005/06,2005-08-23,portsmouth,Aston Villa,Portsmouth,Aston Villa,1,1,D,1,1,2.5,3.2,2.75,B365,2.6903
E0-0506-2005-08-23-sunderland-man-city,E0,Premier League,1,0506,2005/06,2005-08-23,Sunderland,Manchester City,Sunderland,Man City,1,2,A,1,2,2.75,3.2,2.5,B365,2.9594
E0-0506-2005-08-24-arsenal-fulham,E0,Premier League,1,0506,2005/06,2005-08-24,Arsenal,Fulham,Arsenal,Fulham,4,1,H,1,1,1.22,5.5,13,B365,1.3157
E0-0506-2005-08-24-blackburn-tottenham,E0,Premier League,1,0506,2005/06,2005-08-24,blackburn,Tottenham,Blackburn,Tottenham,0,0,D,0,0,2.62,3.2,2.6,B365,2.8264
E0-0506-2005-08-24-bolton-newcastle,E0,Premier League,1,0506,2005/06,2005-08-24,bolton,Newcastle,Bolton,Newcastle,2,0,H,1,0,2.3,3.25,3,B365,2.4744
E0-0506-2005-08-24-chelsea-west-brom,E0,Premier League,1,0506,2005/06,2005-08-24,Chelsea,west brom,Chelsea,West Brom,4,0,H,2,0,1.2,5.5,17,B365,1.2888
E0-0506-2005-08-27-aston-villa-blackburn,E0,Premier League,1,0506,2005/06,2005-08-27,Aston Villa,blackburn,Aston Villa,Blackburn,1,0,H,1,0,2.1,3.25,3.4,B365,2.2638
E0-0506-2005-08-27-fulham-everton,E0,Premier League,1,0506,2005/06,2005-08-27,Fulham,Everton,Fulham,Everton,1,0,H,0,0,2.5,3.2,2.75,B365,2.6903
E0-0506-2005-08-27-man-city-portsmouth,E0,Premier League,1,0506,2005/06,2005-08-27,Manchester City,portsmouth,Man City,Portsmouth,2,1,H,0,0,1.61,3.6,5.5,B365,1.7399
E0-0506-2005-08-27-tottenham-chelsea,E0,Premier League,1,0506,2005/06,2005-08-27,Tottenham,Chelsea,Tottenham,Chelsea,0,2,A,0,1,4.33,3.3,1.83,B365,4.6782
E0-0506-2005-08-27-west-brom-birmingham,E0,Premier League,1,0506,2005/06,2005-08-27,west brom,birmingham,West Brom,Birmingham,2,3,A,1,3,2.37,3.1,3,B365,2.5545
E0-0506-2005-08-27-west-ham-bolton,E0,Premier League,1,0506,2005/06,2005-08-27,West Ham,bolton,West Ham,Bolton,1,2,A,0,0,2.5,3.2,2.75,B365,2.6903
E0-0506-2005-08-27-wigan-sunderland,E0,Premier League,1,0506,2005/06,2005-08-27,wigan,Sunderland,Wigan,Sunderland,1,0,H,1,0,2.1,3.25,3.4,B365,2.2638
E0-0506-2005-08-28-middlesbrough-charlton,E0,Premier League,1,0506,2005/06,2005-08-28,middlesbrough,charlton,Middlesbrough,Charlton,0,3,A,0,1,1.83,3.3,4.33,B365,1.9772
E0-0506-2005-08-28-newcastle-man-united,E0,Premier League,1,0506,2005/06,2005-08-28,Newcastle,Manchester United,Newcastle,Man United,0,2,A,0,0,5,3.6,1.66,B365,5.4009
E0-0506-2005-09-10-birmingham-charlton,E0,Premier League,1,0506,2005/06,2005-09-10,birmingham,charlton,Birmingham,Charlton,0,1,A,0,1,2.37,3.25,2.87,B365,2.555
E0-0506-2005-09-10-chelsea-sunderland,E0,Premier League,1,0506,2005/06,2005-09-10,Chelsea,Sunderland,Chelsea,Sunderland,2,0,H,0,0,1.12,7.5,19,B365,1.2083
E0-0506-2005-09-10-everton-portsmouth,E0,Premier League,1,0506,2005/06,2005-09-10,Everton,portsmouth,Everton,Portsmouth,0,1,A,0,0,1.72,3.3,5,B365,1.8652
E0-0506-2005-09-10-man-united-man-city,E0,Premier League,1,0506,2005/06,2005-09-10,Manchester United,Manchester City,Man United,Man City,1,1,D,1,0,1.4,3.75,10,B365,1.5133
E0-0506-2005-09-10-middlesbrough-arsenal,E0,Premier League,1,0506,2005/06,2005-09-10,middlesbrough,Arsenal,Middlesbrough,Arsenal,2,1,H,1,0,5,3.3,1.72,B365,5.4221
E0-0506-2005-09-10-newcastle-fulham,E0,Premier League,1,0506,2005/06,2005-09-10,Newcastle,Fulham,Newcastle,Fulham,1,1,D,0,1,1.61,3.4,6,B365,1.7419
E0-0506-2005-09-10-tottenham-liverpool,E0,Premier League,1,0506,2005/06,2005-09-10,Tottenham,Liverpool,Tottenham,Liverpool,0,0,D,0,0,2.5,3.2,2.75,B365,2.6903
E0-0506-2005-09-10-west-brom-wigan,E0,Premier League,1,0506,2005/06,2005-09-10,west brom,wigan,West Brom,Wigan,1,2,A,1,1,2,3.2,3.75,B365,2.1583
E0-0506-2005-09-11-bolton-blackburn,E0,Premier League,1,0506,2005/06,2005-09-11,bolton,blackburn,Bolton,Blackburn,0,0,D,0,0,2,3.2,3.75,B365,2.1583
E0-0506-2005-09-12-west-ham-aston-villa,E0,Premier League,1,0506,2005/06,2005-09-12,West Ham,Aston Villa,West Ham,Aston Villa,4,0,H,2,0,2.5,3.2,2.75,B365,2.6903
E0-0506-2005-09-17-aston-villa-tottenham,E0,Premier League,1,0506,2005/06,2005-09-17,Aston Villa,Tottenham,Aston Villa,Tottenham,1,1,D,1,0,2.6,3.25,2.6,B365,2.8
E0-0506-2005-09-17-charlton-chelsea,E0,Premier League,1,0506,2005/06,2005-09-17,charlton,Chelsea,Charlton,Chelsea,0,2,A,0,0,6,3.6,1.57,B365,6.4883
E0-0506-2005-09-17-fulham-west-ham,E0,Premier League,1,0506,2005/06,2005-09-17,Fulham,West Ham,Fulham,West Ham,1,2,A,0,0,2.2,3.1,3.3,B365,2.3763
E0-0506-2005-09-17-portsmouth-birmingham,E0,Premier League,1,0506,2005/06,2005-09-17,portsmouth,birmingham,Portsmouth,Birmingham,1,1,D,1,1,2.3,3.25,3,B365,2.4744
E0-0506-2005-09-17-sunderland-west-brom,E0,Premier League,1,0506,2005/06,2005-09-17,Sunderland,west brom,Sunderland,West Brom,1,1,D,1,0,2.37,3.2,2.9,B365,2.5579
E0-0506-2005-09-18-blackburn-newcastle,E0,Premier League,1,0506,2005/06,2005-09-18,blackburn,Newcastle,Blackburn,Newcastle,0,3,A,0,0,2.4,3.25,2.8,B365,2.5956
E0-0506-2005-09-18-liverpool-man-united,E0,Premier League,1,0506,2005/06,2005-09-18,Liverpool,Manchester United,Liverpool,Man United,0,0,D,0,0,2.7,3.1,2.6,B365,2.9094
