match_id,league,league_name,stufe,season,season_name,date,home_team,away_team,home_team_raw,away_team_raw,fthg,ftag,ftr,hthg,htag,odds_h,odds_d,odds_a,odds_quelle,faire_heimquote
E0-0506-2005-08-14-arsenal-newcastle,E0,Premier League,1,0506,2005/06,2005-08-14,Arsenal,Newcastle,Arsenal,Newcastle,2,0,H,0,0,1.4,4.2,8,B365,1.5083
E0-0506-2005-08-20-liverpool-sunderland,E0,Premier League,1,0506,2005/06,2005-08-20,Liverpool,Sunderland,Liverpool,Sunderland,1,0,H,1,0,1.28,5,10,B365,1.384
E0-0506-2005-08-20-man-united-aston-villa,E0,Premier League,1,0506,2005/06,2005-08-20,Manchester United,Aston Villa,Man United,Aston Villa,1,0,H,0,0,1.22,5.5,13,B365,1.3157
E0-0506-2005-08-20-newcastle-west-ham,E0,Premier League,1,0506,2005/06,2005-08-20,Newcastle,West Ham,Newcastle,West Ham,0,0,D,0,0,1.61,3.6,5.5,B365,1.7399
E0-0506-2005-08-24-arsenal-fulham,E0,Premier League,1,0506,2005/06,2005-08-24,Arsenal,Fulham,Arsenal,Fulham,4,1,H,1,1,1.22,5.5,13,B365,1.3157
E0-0506-2005-08-24-chelsea-west-brom,E0,Premier League,1,0506,2005/06,2005-08-24,Chelsea,west brom,Chelsea,West Brom,4,0,H,2,0,1.2,5.5,17,B365,1.2888
E0-0506-2005-08-27-man-city-portsmouth,E0,Premier League,1,0506,2005/06,2005-08-27,Manchester City,portsmouth,Man City,Portsmouth,2,1,H,0,0,1.61,3.6,5.5,B365,1.7399
E0-0506-2005-09-10-chelsea-sunderland,E0,Premier League,1,0506,2005/06,2005-09-10,Chelsea,Sunderland,Chelsea,Sunderland,2,0,H,0,0,1.12,7.5,19,B365,1.2083
E0-0506-2005-09-10-man-united-man-city,E0,Premier League,1,0506,2005/06,2005-09-10,Manchester United,Manchester City,Man United,Man City,1,1,D,1,0,1.4,3.75,10,B365,1.5133
E0-0506-2005-09-10-newcastle-fulham,E0,Premier League,1,0506,2005/06,2005-09-10,Newcastle,Fulham,Newcastle,Fulham,1,1,D,0,1,1.61,3.4,6,B365,1.7419
E0-0506-2005-09-19-arsenal-everton,E0,Premier League,1,0506,2005/06,2005-09-19,Arsenal,Everton,Arsenal,Everton,2,0,H,2,0,1.4,4,9,B365,1.5056
E0-0506-2005-09-24-chelsea-aston-villa,E0,Premier League,1,0506,2005/06,2005-09-24,Chelsea,Aston Villa,Chelsea,Aston Villa,2,1,H,1,1,1.22,5.5,13,B365,1.3157
E0-0506-2005-09-24-man-united-blackburn,E0,Premier League,1,0506,2005/06,2005-09-24,Manchester United,blackburn,Man United,Blackburn,1,2,A,0,1,1.3,4.33,13,B365,1.4002
E0-0506-2005-09-25-middlesbrough-sunderland,E0,Premier League,1,0506,2005/06,2005-09-25,middlesbrough,Sunderland,Middlesbrough,Sunderland,0,2,A,0,1,1.57,3.5,6.5,B365,1.6901
E0-0506-2005-09-26-tottenham-fulham,E0,Premier League,1,0506,2005/06,2005-09-26,Tottenham,Fulham,Tottenham,Fulham,1,0,H,1,0,1.61,3.4,6,B365,1.7419
E0-0506-2005-10-02-arsenal-birmingham,E0,Premier League,1,0506,2005/06,2005-10-02,Arsenal,birmingham,Arsenal,Birmingham,1,0,H,0,0,1.33,4.5,9.5,B365,1.4356
E0-0506-2005-10-15-chelsea-bolton,E0,Premier League,1,0506,2005/06,2005-10-15,Chelsea,bolton,Chelsea,Bolton,5,1,H,0,1,1.28,4.5,13,B365,1.3829
E0-0506-2005-10-15-liverpool-blackburn,E0,Premier League,1,0506,2005/06,2005-10-15,Liverpool,blackburn,Liverpool,Blackburn,1,0,H,0,0,1.61,3.4,6,B365,1.7419
E0-0506-2005-10-15-tottenham-everton,E0,Premier League,1,0506,2005/06,2005-10-15,Tottenham,Everton,Tottenham,Everton,2,0,H,0,0,1.61,3.4,6,B365,1.7419
E0-0506-2005-10-22-arsenal-man-city,E0,Premier League,1,0506,2005/06,2005-10-22,Arsenal,Manchester City,Arsenal,Man City,1,0,H,0,0,1.5,3.75,7,B365,1.6143
E0-0506-2005-10-22-man-united-tottenham,E0,Premier League,1,0506,2005/06,2005-10-22,Manchester United,Tottenham,Man United,Tottenham,1,1,D,1,0,1.61,3.4,6,B365,1.7419
E0-0506-2005-10-23-newcastle-sunderland,E0,Premier League,1,0506,2005/06,2005-10-23,Newcastle,Sunderland,Newcastle,Sunderland,3,2,H,2,2,1.66,3.4,5.5,B365,1.7901
E0-0506-2005-10-29-chelsea-blackburn,E0,Premier League,1,0506,2005/06,2005-10-29,Chelsea,blackburn,Chelsea,Blackburn,4,2,H,2,2,1.22,5.5,13,B365,1.3157
E0-0506-2005-10-29-liverpool-west-ham,E0,Premier League,1,0506,2005/06,2005-10-29,Liverpool,West Ham,Liverpool,West Ham,2,0,H,1,0,1.57,3.5,6.5,B365,1.6901
E0-0506-2005-11-05-arsenal-sunderland,E0,Premier League,1,0506,2005/06,2005-11-05,Arsenal,Sunderland,Arsenal,Sunderland,3,1,H,2,0,1.2,6,13,B365,1.2923
E0-0506-2005-11-05-newcastle-birmingham,E0,Premier League,1,0506,2005/06,2005-11-05,Newcastle,birmingham,Newcastle,Birmingham,1,0,H,0,0,1.61,3.4,6,B365,1.7419
E0-0506-2005-11-19-chelsea-newcastle,E0,Premier League,1,0506,2005/06,2005-11-19,Chelsea,Newcastle,Chelsea,Newcastle,3,0,H,0,0,1.33,4.5,9.5,B365,1.4356
E0-0506-2005-11-19-liverpool-portsmouth,E0,Premier League,1,0506,2005/06,2005-11-19,Liverpool,portsmouth,Liverpool,Portsmouth,3,0,H,2,0,1.4,4,9,B365,1.5056
E0-0506-2005-11-20-tottenham-west-ham,E0,Premier League,1,0506,2005/06,2005-11-20,Tottenham,West Ham,Tottenham,West Ham,1,1,D,1,0,1.66,3.4,5.5,B365,1.7901
E0-0506-2005-11-26-arsenal-blackburn,E0,Premier League,1,0506,2005/06,2005-11-26,Arsenal,blackburn,Arsenal,Blackburn,3,0,H,2,0,1.36,4.33,9,B365,1.4652
E0-0506-2005-12-03-chelsea-middlesbrough,E0,Premier League,1,0506,2005/06,2005-12-03,Chelsea,middlesbrough,Chelsea,Middlesbrough,1,0,H,0,0,1.25,5,13,B365,1.3462
