match_id,heim_id,gast_id
E0-0506-2005-08-14-arsenal-newcastle,359,361
E0-0506-2005-08-20-liverpool-sunderland,364,366
E0-0506-2005-08-20-man-united-aston-villa,360,362
E0-0506-2005-08-20-newcastle-west-ham,361,371
E0-0506-2005-08-24-arsenal-fulham,359,370
E0-0506-2005-08-24-chelsea-west-brom,363,383
E0-0506-2005-08-27-man-city-portsmouth,382,385
E0-0506-2005-09-10-chelsea-sunderland,363,366
E0-0506-2005-09-10-man-united-man-city,360,382
E0-0506-2005-09-10-newcastle-fulham,361,370
E0-0506-2005-09-19-arsenal-everton,359,368
E0-0506-2005-09-24-chelsea-aston-villa,363,362
E0-0506-2005-09-24-man-united-blackburn,360,365
E0-0506-2005-09-25-middlesbrough-sunderland,369,366
E0-0506-2005-09-26-tottenham-fulham,367,370
E0-0506-2005-10-02-arsenal-birmingham,359,392
E0-0506-2005-10-15-chelsea-bolton,363,358
E0-0506-2005-10-15-liverpool-blackburn,364,365
E0-0506-2005-10-15-tottenham-everton,367,368
E0-0506-2005-10-22-arsenal-man-city,359,382
E0-0506-2005-10-22-man-united-tottenham,360,367
E0-0506-2005-10-23-newcastle-sunderland,361,366
E0-0506-2005-10-29-chelsea-blackburn,363,365
E0-0506-2005-10-29-liverpool-west-ham,364,371
E0-0506-2005-11-05-arsenal-sunderland,359,366
E0-0506-2005-11-05-newcastle-birmingham,361,392
E0-0506-2005-11-19-chelsea-newcastle,363,361
E0-0506-2005-11-19-liverpool-portsmouth,364,385
E0-0506-2005-11-20-tottenham-west-ham,367,371
E0-0506-2005-11-26-arsenal-blackburn,359,365
E0-0506-2005-12-03-chelsea-middlesbrough,363,369
E0-0506-2005-12-03-liverpool-wigan,364,350
E0-0506-2005-12-03-man-united-portsmouth,360,385
E0-0506-2005-12-03-tottenham-sunderland,367,366
E0-0506-2005-12-10-charlton-sunderland,372,366
E0-0506-2005-12-10-chelsea-wigan,363,350
E0-0506-2005-12-10-liverpool-middlesbrough,364,369
E0-0506-2005-12-11-man-united-everton,360,368
E0-0506-2005-12-12-tottenham-portsmouth,367,385
E0-0506-2005-12-14-man-united-wigan,360,350
E0-0506-2005-12-26-chelsea-fulham,363,370
E0-0506-2005-12-26-liverpool-newcastle,364,361
E0-0506-2005-12-26-man-united-west-brom,360,383
E0-0506-2005-12-26-tottenham-birmingham,367,392
E0-0506-2005-12-28-arsenal-portsmouth,359,385
E0-0506-2005-12-31-chelsea-birmingham,363,392
E0-0506-2005-12-31-liverpool-west-brom,364,383
E0-0506-2005-12-31-man-united-bolton,360,358
E0-0506-2006-01-02-blackburn-portsmouth,365,385
E0-0506-2006-01-02-fulham-sunderland,370,366
E0-0506-2006-01-14-arsenal-middlesbrough,359,369
E0-0506-2006-01-14-liverpool-tottenham,364,367
E0-0506-2006-01-21-tottenham-aston-villa,367,362
E0-0506-2006-01-22-chelsea-charlton,363,372
E0-0506-2006-02-01-arsenal-west-ham,359,371
E0-0506-2006-02-01-liverpool-birmingham,364,392
E0-0506-2006-02-04-man-united-fulham,360,370
E0-0506-2006-02-04-west-ham-sunderland,371,366
E0-0506-2006-02-11-arsenal-bolton,359,358
E0-0506-2006-02-15-blackburn-sunderland,365,366
E0-0506-2006-02-19-tottenham-wigan,367,350
E0-0506-2006-02-25-birmingham-sunderland,392,366
E0-0506-2006-02-25-chelsea-portsmouth,363,385
E0-0506-2006-02-26-liverpool-man-city,364,382
E0-0506-2006-03-04-liverpool-charlton,364,372
E0-0506-2006-03-05-man-city-sunderland,382,366
E0-0506-2006-03-11-chelsea-tottenham,363,367
E0-0506-2006-03-12-man-united-newcastle,360,361
E0-0506-2006-03-15-liverpool-fulham,364,370
E0-0506-2006-03-18-arsenal-charlton,359,372
E0-0506-2006-03-18-bolton-sunderland,358,366
E0-0506-2006-03-25-chelsea-man-city,363,382
E0-0506-2006-03-25-liverpool-everton,364,368
E0-0506-2006-03-26-man-united-birmingham,360,392
E0-0506-2006-03-27-tottenham-west-brom,367,383
E0-0506-2006-03-29-man-united-west-ham,360,371
