match_id,ist_fall,status,espn_hz,fd_hz,eigentor_h1
B1-0607-2006-07-28-club-brugge-gent,0,Halbzeit stimmt,2:0,2:0,0
B1-0607-2006-07-29-brussels-bergen,0,Halbzeit stimmt,0:0,0:0,0
B1-0607-2006-07-29-charleroi-lierse,0,Halbzeit stimmt,0:0,0:0,0
B1-0607-2006-08-04-standard-charleroi,1,Halbzeit stimmt,1:1,1:1,0
B1-0607-2006-08-05-anderlecht-germinal,0,Halbzeit stimmt,0:0,0:0,0
B1-0607-2006-08-05-gent-mouscron,1,Halbzeit stimmt,1:1,1:1,0
B1-0607-2006-08-19-club-brugge-beveren,0,Halbzeit stimmt,1:0,1:0,0
B1-0607-2006-08-26-standard-waregem,0,Halbzeit stimmt,0:0,0:0,0
B1-0607-2006-09-09-club-brugge-bergen,0,Halbzeit stimmt,0:0,0:0,0
B1-0607-2006-09-10-lokeren-beveren,0,Halbzeit stimmt,2:0,2:0,0
B1-0607-2006-09-16-anderlecht-lokeren,0,Halbzeit stimmt,1:0,1:0,0
B1-0607-2006-09-17-standard-brussels,0,Halbzeit stimmt,1:1,1:1,0
B1-0607-2006-09-23-club-brugge-germinal,0,Halbzeit stimmt,0:0,0:0,0
B1-0607-2006-09-23-genk-beveren,0,Halbzeit stimmt,0:0,0:0,0
B1-0607-2006-09-23-standard-cercle-brugge,0,Halbzeit stimmt,1:0,1:0,0
B1-0607-2006-10-14-standard-roeselare,1,Halbzeit stimmt,0:1,0:1,0
B1-0607-2006-10-15-genk-bergen,0,Halbzeit stimmt,3:1,3:1,0
B1-0607-2006-10-27-club-brugge-mouscron,0,Halbzeit stimmt,2:0,2:0,0
B1-0607-2006-10-28-anderlecht-lierse,0,Halbzeit stimmt,1:0,1:0,0
B1-0607-2006-10-28-gent-brussels,0,Halbzeit stimmt,2:1,2:1,0
B1-0607-2006-11-03-genk-germinal,0,Halbzeit stimmt,4:0,4:0,0
B1-0607-2006-11-04-gent-roeselare,0,Halbzeit stimmt,1:0,1:0,0
B1-0607-2006-11-11-anderlecht-cercle-brugge,0,Halbzeit stimmt,1:0,1:0,0
B1-0607-2006-11-11-club-brugge-charleroi,0,Halbzeit stimmt,1:0,1:0,0
B1-0607-2006-11-18-standard-st-truiden,0,Halbzeit stimmt,0:0,0:0,0
B1-0607-2006-11-25-westerlo-lierse,0,Halbzeit stimmt,0:0,0:0,0
