match_id,league,league_name,season,season_name,date,time,home_team,away_team,home_team_raw,away_team_raw,fthg,ftag,ftr,hthg,htag,hr,ar,b365h,b365d,b365a
E0-1516-2015-08-08-bournemouth-aston-villa,E0,Premier League,1516,2015/16,2015-08-08,,Bournemouth,Aston Villa,Bournemouth,Aston Villa,0,1,A,0,0,0,0,2,3.6,4
E0-1516-2015-08-08-chelsea-swansea,E0,Premier League,1516,2015/16,2015-08-08,,Chelsea,swansea,Chelsea,Swansea,2,2,D,2,1,1,0,1.36,5,11
E0-1516-2015-08-08-everton-watford,E0,Premier League,1516,2015/16,2015-08-08,,Everton,watford,Everton,Watford,2,2,D,0,1,0,0,1.7,3.9,5.5
E0-1516-2015-08-08-leicester-sunderland,E0,Premier League,1516,2015/16,2015-08-08,,Leicester,Sunderland,Leicester,Sunderland,4,2,H,3,0,0,0,1.95,3.5,4.33
E0-1516-2015-08-08-man-united-tottenham,E0,Premier League,1516,2015/16,2015-08-08,,Manchester United,Tottenham,Man United,Tottenham,1,0,H,1,0,0,0,1.65,4,6
E0-1516-2015-08-08-norwich-crystal-palace,E0,Premier League,1516,2015/16,2015-08-08,,norwich,Crystal Palace,Norwich,Crystal Palace,1,3,A,0,1,0,0,2.55,3.3,3
E0-1516-2015-08-09-arsenal-west-ham,E0,Premier League,1516,2015/16,2015-08-09,,Arsenal,West Ham,Arsenal,West Ham,0,2,A,0,1,0,0,1.29,6,12
E0-1516-2015-08-09-newcastle-southampton,E0,Premier League,1516,2015/16,2015-08-09,,Newcastle,Southampton,Newcastle,Southampton,2,2,D,1,1,0,0,2.88,3.3,2.7
E0-1516-2015-08-09-stoke-liverpool,E0,Premier League,1516,2015/16,2015-08-09,,stoke,Liverpool,Stoke,Liverpool,0,1,A,0,0,0,0,3.4,3.4,2.3
E0-1516-2015-08-10-west-brom-man-city,E0,Premier League,1516,2015/16,2015-08-10,,west brom,Manchester City,West Brom,Man City,0,3,A,0,2,0,0,5.75,4,1.67
E0-1516-2015-08-14-aston-villa-man-united,E0,Premier League,1516,2015/16,2015-08-14,,Aston Villa,Manchester United,Aston Villa,Man United,0,1,A,0,1,0,0,5.5,3.8,1.73
E0-1516-2015-08-15-southampton-everton,E0,Premier League,1516,2015/16,2015-08-15,,Southampton,Everton,Southampton,Everton,0,3,A,0,2,0,0,1.95,3.6,4.33
E0-1516-2015-08-15-sunderland-norwich,E0,Premier League,1516,2015/16,2015-08-15,,Sunderland,norwich,Sunderland,Norwich,1,3,A,0,2,0,0,2.5,3.3,3.1
E0-1516-2015-08-15-swansea-newcastle,E0,Premier League,1516,2015/16,2015-08-15,,swansea,Newcastle,Swansea,Newcastle,2,0,H,1,0,0,1,1.95,3.6,4.33
E0-1516-2015-08-15-tottenham-stoke,E0,Premier League,1516,2015/16,2015-08-15,,Tottenham,stoke,Tottenham,Stoke,2,2,D,2,0,0,0,1.8,3.75,5
E0-1516-2015-08-15-watford-west-brom,E0,Premier League,1516,2015/16,2015-08-15,,watford,west brom,Watford,West Brom,0,0,D,0,0,0,0,2.3,3.4,3.4
E0-1516-2015-08-15-west-ham-leicester,E0,Premier League,1516,2015/16,2015-08-15,,West Ham,Leicester,West Ham,Leicester,1,2,A,0,2,1,0,2.25,3.5,3.4
E0-1516-2015-08-16-crystal-palace-arsenal,E0,Premier League,1516,2015/16,2015-08-16,,Crystal Palace,Arsenal,Crystal Palace,Arsenal,1,2,A,1,1,0,0,5.25,3.9,1.73
E0-1516-2015-08-16-man-city-chelsea,E0,Premier League,1516,2015/16,2015-08-16,,Manchester City,Chelsea,Man City,Chelsea,3,0,H,1,0,0,0,2.1,3.5,3.75
E0-1516-2015-08-17-liverpool-bournemouth,E0,Premier League,1516,2015/16,2015-08-17,,Liverpool,Bournemouth,Liverpool,Bournemouth,1,0,H,1,0,0,0,1.45,4.75,8
E0-1516-2015-08-22-crystal-palace-aston-villa,E0,Premier League,1516,2015/16,2015-08-22,,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa,2,1,H,0,0,0,0,1.85,3.6,4.75
E0-1516-2015-08-22-leicester-tottenham,E0,Premier League,1516,2015/16,2015-08-22,,Leicester,Tottenham,Leicester,Tottenham,1,1,D,0,0,0,0,2.63,3.6,2.75
E0-1516-2015-08-22-man-united-newcastle,E0,Premier League,1516,2015/16,2015-08-22,,Manchester United,Newcastle,Man United,Newcastle,0,0,D,0,0,0,0,1.36,5.25,10
E0-1516-2015-08-22-norwich-stoke,E0,Premier League,1516,2015/16,2015-08-22,,norwich,stoke,Norwich,Stoke,1,1,D,1,1,0,0,2.3,3.3,3.5
E0-1516-2015-08-22-sunderland-swansea,E0,Premier League,1516,2015/16,2015-08-22,,Sunderland,swansea,Sunderland,Swansea,1,1,D,0,1,0,0,4,3.4,2.1
E0-1516-2015-08-22-west-ham-bournemouth,E0,Premier League,1516,2015/16,2015-08-22,,West Ham,Bournemouth,West Ham,Bournemouth,3,4,A,0,2,1,0,2.38,3.4,3.2
E0-1516-2015-08-23-everton-man-city,E0,Premier League,1516,2015/16,2015-08-23,,Everton,Manchester City,Everton,Man City,0,2,A,0,0,0,0,5,4,1.73
E0-1516-2015-08-23-watford-southampton,E0,Premier League,1516,2015/16,2015-08-23,,watford,Southampton,Watford,Southampton,0,0,D,0,0,0,0,2.8,3.3,2.75
E0-1516-2015-08-23-west-brom-chelsea,E0,Premier League,1516,2015/16,2015-08-23,,west brom,Chelsea,West Brom,Chelsea,2,3,A,1,3,0,1,6.5,4,1.62
E0-1516-2015-08-24-arsenal-liverpool,E0,Premier League,1516,2015/16,2015-08-24,,Arsenal,Liverpool,Arsenal,Liverpool,0,0,D,0,0,0,0,1.75,4,5
E0-1516-2015-08-29-aston-villa-sunderland,E0,Premier League,1516,2015/16,2015-08-29,,Aston Villa,Sunderland,Aston Villa,Sunderland,2,2,D,2,1,0,0,1.91,3.5,4.75
E0-1516-2015-08-29-bournemouth-leicester,E0,Premier League,1516,2015/16,2015-08-29,,Bournemouth,Leicester,Bournemouth,Leicester,1,1,D,1,0,0,0,2.2,3.6,3.4
E0-1516-2015-08-29-chelsea-crystal-palace,E0,Premier League,1516,2015/16,2015-08-29,,Chelsea,Crystal Palace,Chelsea,Crystal Palace,1,2,A,0,0,0,0,1.36,5,11
E0-1516-2015-08-29-liverpool-west-ham,E0,Premier League,1516,2015/16,2015-08-29,,Liverpool,West Ham,Liverpool,West Ham,0,3,A,0,2,1,1,1.36,5.5,9
E0-1516-2015-08-29-man-city-watford,E0,Premier League,1516,2015/16,2015-08-29,,Manchester City,watford,Man City,Watford,2,0,H,0,0,0,0,1.2,8,15
E0-1516-2015-08-29-newcastle-arsenal,E0,Premier League,1516,2015/16,2015-08-29,,Newcastle,Arsenal,Newcastle,Arsenal,0,1,A,0,0,1,0,6,4.2,1.62
E0-1516-2015-08-29-stoke-west-brom,E0,Premier League,1516,2015/16,2015-08-29,,stoke,west brom,Stoke,West Brom,0,1,A,0,1,2,0,1.95,3.4,4.5
E0-1516-2015-08-29-tottenham-everton,E0,Premier League,1516,2015/16,2015-08-29,,Tottenham,Everton,Tottenham,Everton,0,0,D,0,0,0,0,2,3.5,4.2
E0-1516-2015-08-30-southampton-norwich,E0,Premier League,1516,2015/16,2015-08-30,,Southampton,norwich,Southampton,Norwich,3,0,H,1,0,0,1,2.05,3.5,4
E0-1516-2015-08-30-swansea-man-united,E0,Premier League,1516,2015/16,2015-08-30,,swansea,Manchester United,Swansea,Man United,2,1,H,0,0,0,0,3.6,3.3,2.25
E0-1516-2015-09-12-arsenal-stoke,E0,Premier League,1516,2015/16,2015-09-12,,Arsenal,stoke,Arsenal,Stoke,2,0,H,1,0,0,0,1.29,6,12
E0-1516-2015-09-12-crystal-palace-man-city,E0,Premier League,1516,2015/16,2015-09-12,,Crystal Palace,Manchester City,Crystal Palace,Man City,0,1,A,0,0,0,0,5.5,4.2,1.67
E0-1516-2015-09-12-everton-chelsea,E0,Premier League,1516,2015/16,2015-09-12,,Everton,Chelsea,Everton,Chelsea,3,1,H,2,1,0,0,4,3.6,2
E0-1516-2015-09-12-man-united-liverpool,E0,Premier League,1516,2015/16,2015-09-12,,Manchester United,Liverpool,Man United,Liverpool,3,1,H,0,0,0,0,2,3.4,4.33
E0-1516-2015-09-12-norwich-bournemouth,E0,Premier League,1516,2015/16,2015-09-12,,norwich,Bournemouth,Norwich,Bournemouth,3,1,H,1,0,0,0,2.4,3.4,3.2
E0-1516-2015-09-12-watford-swansea,E0,Premier League,1516,2015/16,2015-09-12,,watford,swansea,Watford,Swansea,1,0,H,0,0,1,0,2.75,3.4,2.75
E0-1516-2015-09-12-west-brom-southampton,E0,Premier League,1516,2015/16,2015-09-12,,west brom,Southampton,West Brom,Southampton,0,0,D,0,0,0,0,3.2,3.2,2.5
E0-1516-2015-09-13-leicester-aston-villa,E0,Premier League,1516,2015/16,2015-09-13,,Leicester,Aston Villa,Leicester,Aston Villa,3,2,H,0,1,0,0,1.91,3.75,4.33
E0-1516-2015-09-13-sunderland-tottenham,E0,Premier League,1516,2015/16,2015-09-13,,Sunderland,Tottenham,Sunderland,Tottenham,0,1,A,0,0,0,0,4.33,3.6,1.95
E0-1516-2015-09-14-west-ham-newcastle,E0,Premier League,1516,2015/16,2015-09-14,,West Ham,Newcastle,West Ham,Newcastle,2,0,H,1,0,0,0,2.25,3.5,3.4
E0-1516-2015-09-19-aston-villa-west-brom,E0,Premier League,1516,2015/16,2015-09-19,,Aston Villa,west brom,Aston Villa,West Brom,0,1,A,0,1,0,0,2.3,3.25,3.5
E0-1516-2015-09-19-bournemouth-sunderland,E0,Premier League,1516,2015/16,2015-09-19,,Bournemouth,Sunderland,Bournemouth,Sunderland,2,0,H,2,0,0,1,1.7,4,5.5
E0-1516-2015-09-19-chelsea-arsenal,E0,Premier League,1516,2015/16,2015-09-19,,Chelsea,Arsenal,Chelsea,Arsenal,2,0,H,0,0,0,2,2.45,3.5,3
E0-1516-2015-09-19-man-city-west-ham,E0,Premier League,1516,2015/16,2015-09-19,,Manchester City,West Ham,Man City,West Ham,1,2,A,1,2,0,0,1.29,6.5,11
E0-1516-2015-09-19-newcastle-watford,E0,Premier League,1516,2015/16,2015-09-19,,Newcastle,watford,Newcastle,Watford,1,2,A,0,2,0,0,2.5,3.3,3.1
E0-1516-2015-09-19-stoke-leicester,E0,Premier League,1516,2015/16,2015-09-19,,stoke,Leicester,Stoke,Leicester,2,2,D,2,0,0,0,2.5,3.4,3
E0-1516-2015-09-19-swansea-everton,E0,Premier League,1516,2015/16,2015-09-19,,swansea,Everton,Swansea,Everton,0,0,D,0,0,0,1,2.3,3.4,3.4
E0-1516-2015-09-20-liverpool-norwich,E0,Premier League,1516,2015/16,2015-09-20,,Liverpool,norwich,Liverpool,Norwich,1,1,D,0,0,0,0,1.67,4,5.75
E0-1516-2015-09-20-southampton-man-united,E0,Premier League,1516,2015/16,2015-09-20,,Southampton,Manchester United,Southampton,Man United,2,3,A,1,1,0,0,3.1,3.3,2.5
E0-1516-2015-09-20-tottenham-crystal-palace,E0,Premier League,1516,2015/16,2015-09-20,,Tottenham,Crystal Palace,Tottenham,Crystal Palace,1,0,H,0,0,0,0,2,3.6,4
E0-1516-2015-09-26-leicester-arsenal,E0,Premier League,1516,2015/16,2015-09-26,,Leicester,Arsenal,Leicester,Arsenal,2,5,A,1,2,0,0,4.5,4,1.8
