match_id,league,season,date,home_team,away_team,red_minute,red_extra,red_side,red_team,opponent_team,goals_for_at_red,goals_against_at_red,is_first_red,own_reds_before,opp_reds_before,final_home_goals,final_away_goals,score_check,source
E0-2324-2023-08-11-burnley-man-city,E0,2324,2023-08-11,Burnley,Manchester City,90,4,home,Burnley,Manchester City,0,3,1,0,0,0,3,ok,espn
E0-2324-2023-08-19-fulham-brentford,E0,2324,2023-08-19,Fulham,Brentford,64,0,home,Fulham,Brentford,0,1,1,0,0,0,3,ok,espn
E0-2324-2023-08-19-liverpool-bournemouth,E0,2324,2023-08-19,Liverpool,Bournemouth,58,0,home,Liverpool,Bournemouth,2,1,1,0,0,3,1,ok,espn
E0-2324-2023-08-19-wolves-brighton,E0,2324,2023-08-19,Wolves,Brighton,90,5,home,Wolves,Brighton,1,4,1,0,0,1,4,ok,espn
E0-2324-2023-08-20-west-ham-chelsea,E0,2324,2023-08-20,West Ham,Chelsea,67,0,home,West Ham,Chelsea,2,1,1,0,0,3,1,ok,espn
E0-2324-2023-08-21-crystal-palace-arsenal,E0,2324,2023-08-21,Crystal Palace,Arsenal,67,0,away,Arsenal,Crystal Palace,1,0,1,0,0,0,1,ok,espn
E0-2324-2023-08-26-arsenal-fulham,E0,2324,2023-08-26,Arsenal,Fulham,83,0,away,Fulham,Arsenal,1,2,1,0,0,2,2,ok,espn
E0-2324-2023-08-26-man-united-nott-m-forest,E0,2324,2023-08-26,Manchester United,Nottingham Forest,67,0,away,Nottingham Forest,Manchester United,2,2,1,0,0,3,2,ok,espn
E0-2324-2023-08-27-newcastle-liverpool,E0,2324,2023-08-27,Newcastle,Liverpool,28,0,away,Liverpool,Newcastle,0,1,1,0,0,1,2,ok,espn
E0-2324-2023-09-16-tottenham-sheffield-united,E0,2324,2023-09-16,Tottenham,Sheffield United,90,14,away,Sheffield United,Tottenham,1,2,1,0,0,2,1,ok,espn
E0-2324-2023-09-18-nott-m-forest-burnley,E0,2324,2023-09-18,Nottingham Forest,Burnley,90,4,away,Burnley,Nottingham Forest,1,1,1,0,0,1,1,ok,espn
E0-2324-2023-09-23-luton-wolves,E0,2324,2023-09-23,Luton,Wolves,39,0,away,Wolves,Luton,0,0,1,0,0,1,1,ok,espn
E0-2324-2023-09-23-man-city-nott-m-forest,E0,2324,2023-09-23,Manchester City,Nottingham Forest,46,0,home,Manchester City,Nottingham Forest,2,0,1,0,0,2,0,ok,espn
E0-2324-2023-09-30-tottenham-liverpool,E0,2324,2023-09-30,Tottenham,Liverpool,26,0,away,Liverpool,Tottenham,0,0,1,0,0,2,1,ok,espn
E0-2324-2023-09-30-tottenham-liverpool,E0,2324,2023-09-30,Tottenham,Liverpool,69,0,away,Liverpool,Tottenham,1,1,0,1,0,2,1,ok,espn
E0-2324-2023-10-01-nott-m-forest-brentford,E0,2324,2023-10-01,Nottingham Forest,Brentford,56,0,home,Nottingham Forest,Brentford,0,0,1,0,0,1,1,ok,espn
E0-2324-2023-10-07-luton-tottenham,E0,2324,2023-10-07,Luton,Tottenham,45,4,away,Tottenham,Luton,0,0,1,0,0,0,1,ok,espn
E0-2324-2023-10-08-wolves-aston-villa,E0,2324,2023-10-08,Wolves,Aston Villa,90,4,home,Wolves,Aston Villa,1,1,1,0,0,1,1,ok,espn
E0-2324-2023-10-21-bournemouth-wolves,E0,2324,2023-10-21,Bournemouth,Wolves,54,0,home,Bournemouth,Wolves,1,1,1,0,0,1,2,ok,espn
