dimension,gruppe,rot_faelle,rot_siegquote,rot_ci_unten,rot_ci_oben,erwartet_ohne_rot,differenz_prozentpunkte,vergleichsebene,vergleichs_beobachtungen,hinweis
gesamt,alle Fälle,53,28.3,18.0,41.6,36.5,-8.2,Minute+Stand+Stärke+Ort,20,
minute,0-15,2,0.0,0.0,65.8,41.6,-41.6,Minute+Stand+Stärke+Ort,64,zu wenig Daten (rot: 2)
minute,16-30,5,20.0,3.6,62.4,25.4,-5.4,Minute+Stand+Stärke+Ort,47,zu wenig Daten (rot: 5)
minute,31-45,8,25.0,7.1,59.1,35.5,-10.5,Minute+Stand+Stärke+Ort,30,zu wenig Daten (rot: 8)
minute,46-60,5,40.0,11.8,76.9,51.7,-11.7,Minute+Stand+Stärke+Ort,27,zu wenig Daten (rot: 5)
minute,61-75,13,30.8,12.7,57.6,45.0,-14.2,Minute+Stand+Stärke+Ort,31,zu wenig Daten (rot: 13)
minute,76+,20,30.0,14.5,51.9,29.9,0.1,Minute+Stand+Stärke+Ort,20,zu wenig Daten (rot: 20)
spielstand,fuehrt,17,76.5,52.7,90.4,83.4,-6.9,Minute+Stand+Stärke+Ort,27,zu wenig Daten (rot: 17)
spielstand,unentschieden,18,5.6,1.0,25.8,26.7,-21.1,Minute+Stand+Stärke+Ort,30,zu wenig Daten (rot: 18)
spielstand,1 zurueck,10,10.0,1.8,40.4,3.8,6.2,Minute+Stand+Stärke+Ort,20,zu wenig Daten (rot: 10)
spielstand,2+ zurueck,8,0.0,0.0,32.4,0.0,0.0,Minute+Stand+Stärke+Ort,30,zu wenig Daten (rot: 8)
staerke,<1.50,5,80.0,37.6,96.4,93.8,-13.8,Minute+Stand+Stärke+Ort,27,zu wenig Daten (rot: 5)
staerke,1.50-2.50,14,50.0,26.8,73.2,58.2,-8.2,Minute+Stand+Stärke+Ort,20,zu wenig Daten (rot: 14)
staerke,>2.50,34,11.8,4.7,26.6,19.2,-7.4,Minute+Stand+Stärke+Ort,30,
ort,heim,25,28.0,14.3,47.6,44.5,-16.5,Minute+Stand+Stärke+Ort,20,zu wenig Daten (rot: 25)
ort,auswaerts,28,28.6,15.3,47.1,29.4,-0.8,Minute+Stand+Stärke+Ort,30,zu wenig Daten (rot: 28)
